run_name,model,dataset,version,seed,mode,protocol_variant,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,calibration_temperature_source,validation_temperature,smearing_source,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured
lstm_base_cdnow_v2_seed123_sample,lstm_base,cdnow,v2,123,sample,strict,valendin_aggregate_mape_v1,1.2597346305847168,0.4926939606666565,0.6552627703786119,2.532864555764209,57.45516648231056,-57.45516875914507,26.429376581862854,1196.0,508.83620887156576,57.45516648231056,-57.45516648231056,55.905968608061876,-55.905968608061876,-57.45516648231056,57.45516648231056,57.45516648231056,0.3180240833607764,0.08338133039507842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,120.0,29.51500129699707,0.0,0.0,2.532864555764209,1.0,2,cdnow_sample_52x26,2349,52,26,sample,200,True,,,175,300
lstm_base_cdnow_v2_seed42_sample,lstm_base,cdnow,v2,42,sample,strict,valendin_aggregate_mape_v1,1.3339738845825195,0.4947376847267151,0.627075493308027,2.1441565603403143,74.75762916573115,-74.75763021105509,34.388509416236325,1196.0,301.8987551778555,74.75762916573115,-74.75762916573115,73.64262393595263,-73.64262393595263,-74.75762916573115,74.75762916573115,74.75762916573115,0.28272729252519657,0.08338133039507842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,120.0,36.49287509918213,0.0,0.0,2.1441565603403143,1.0,2,cdnow_sample_52x26,2349,52,26,sample,200,True,,,225,300
lstm_base_cdnow_v2_seed7_sample,lstm_base,cdnow,v2,7,sample,strict,valendin_aggregate_mape_v1,1.279907464981079,0.5040170550346375,0.6281111947380478,2.3032890399186465,62.89344356429567,-62.89344455884851,28.930984039576007,1196.0,443.7944149710238,62.89344356429567,-62.89344356429567,61.4389207949785,-61.4389207949785,-62.89344356429567,62.89344356429567,62.89344356429567,0.30649220702123364,0.08338133039507842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,120.0,33.272536277770996,0.0,0.0,2.3032890399186465,1.0,2,cdnow_sample_52x26,2349,52,26,sample,200,True,,,146,300
lstm_base_dunnhumby_v2_seed123_sample,lstm_base,dunnhumby,v2,123,sample,strict,valendin_aggregate_mape_v1,13.767611503601074,8.492979049682617,0.8773407573231281,1.0286431339869349,2.246626261272338,2.246624642346209,117.31080710261382,62910.0,64323.35258096643,4.10242847918853,2.246626261272338,5.6701607784200085,3.906763336770703,2.246626261272338,4.10242847918853,4.10242847918853,1.0292501221848835,0.8235297098438245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rolling_origin_autoregressive,1.0,,rolling_origin_autoregressive,6257.0,5917.98095703125,0.0,0.0,1.0286431339869349,1.0,2,dunnhumby_configured_80x22,2498,80,22,sample,200,True,,,148,300
lstm_base_dunnhumby_v2_seed42_sample,lstm_base,dunnhumby,v2,42,sample,strict,valendin_aggregate_mape_v1,14.108920097351074,8.573118209838867,0.8759398711843163,1.0161472019344178,4.86441433400406,4.8644144412653,157.15405032758346,62910.0,65970.20305752195,5.495770318243262,4.86441433400406,7.293267713749177,6.698779583357403,4.86441433400406,5.495770318243262,5.495770318243262,1.0370258125649576,0.8235297098438245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rolling_origin_autoregressive,1.0,,rolling_origin_autoregressive,6257.0,6061.25537109375,0.0,0.0,1.0161472019344178,1.0,2,dunnhumby_configured_80x22,2498,80,22,sample,200,True,,,176,300
lstm_base_dunnhumby_v2_seed7_sample,lstm_base,dunnhumby,v2,7,sample,strict,valendin_aggregate_mape_v1,13.878803253173828,8.53835391998291,0.8785164877466157,1.0136885139309602,4.0924094565449005,4.092410040136704,145.18438450793144,62910.0,65484.5347891124,5.0771840075894,4.0924094565449005,6.829046541621858,5.909763784614343,4.0924094565449005,5.0771840075894,5.0771840075894,1.033771046898093,0.8235297098438245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rolling_origin_autoregressive,1.0,,rolling_origin_autoregressive,6257.0,6090.2666015625,0.0,0.0,1.0136885139309602,1.0,2,dunnhumby_configured_80x22,2498,80,22,sample,200,True,,,176,300
extension3_lstm_dynamic_dunnhumby_final_seed123_sample,extension3_lstm_dynamic,dunnhumby,final,123,sample,strict,valendin_aggregate_mape_v1,3.4841105937957764,2.0465545654296875,0.8479728662115191,1.0686387099631016,7.590495565255999,-7.590494901343497,225.28590837679803,11872.0,10970.856366492808,7.590495565255999,-7.590495565255999,7.591887332285069,-7.591887332285069,-7.590495565255999,7.590495565255999,7.590495565255999,0.9670686743353574,0.8235297098438245,1.3588007795268144,0.986467680433877,63.95343780517578,104.15303802490234,0.8278580384491657,1.0128352642059326,1.4386320114135742,0.5298904180526733,-3.966303997902777,3442.0230005334342,347125.7604829216,333357.66848078795,3.9663123770991695,3.966312377099148,-3.966312377099148,3.9430531583579302,-3.9430531583579302,-3.9663123770991695,3.9663123770991695,0.9598402458290662,27.51521755817735,63.782188415527344,103.86819458007812,0.7943116194955302,3.391265805120631,0.827861777422338,346205.21875,332475.15625,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1947.6338500976562,63355.44140625,65117.83203125,1.0686387099631016,0.986467680433877,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_dynamic_dunnhumby_final_seed42_sample,extension3_lstm_dynamic,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.3694841861724854,2.027052879333496,0.848934860233013,1.08278854926978,8.94858453826316,-8.948584708242082,265.5939890956506,11872.0,10809.624043617398,8.94858453826316,-8.94858453826316,8.934053328729451,-8.934053328729451,-8.94858453826316,8.94858453826316,8.94858453826316,0.9598018983454536,0.8235297098438245,1.3612773823534512,0.9949960181171246,63.19009017944336,102.65839385986328,0.8265891427216325,1.0135140419006348,1.4407583475112915,0.5284997224807739,-7.166810226553346,6219.468965898544,347125.7604829216,322247.8846193275,7.166819261406604,7.1668192614065855,-7.1668192614065855,7.023218804950989,-7.023218804950989,-7.166819261406604,7.166819261406604,0.9561098626604332,27.51521755817735,63.01974105834961,102.37895202636719,0.793479290246585,3.3892450479972323,0.8265922140913693,346205.21875,321381.90625,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1900.34619140625,63355.44140625,63995.91015625,1.08278854926978,0.9949960181171246,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_dynamic_dunnhumby_final_seed7_sample,extension3_lstm_dynamic,dunnhumby,final,7,sample,strict,valendin_aggregate_mape_v1,3.371454954147339,2.0356526374816895,0.8488111974339194,1.0842674357347133,8.321690576865194,-8.321691137761118,246.98777632135898,11872.0,10884.048894714564,8.321690576865194,-8.321690576865194,8.308891535483594,-8.308891535483594,-8.321690576865194,8.321690576865194,8.321690576865194,0.9632335250069066,0.8235297098438245,1.3613163909359263,0.9939877019882595,63.21208190917969,101.78117370605469,0.8272145910648274,1.0082533359527588,1.441304326057434,0.5281423926353455,-5.8961701919261245,5147.300528953412,347125.7604829216,326658.6404220228,5.931337993230446,5.896168591010058,-5.896168591010058,5.8212734018996395,-5.784531110204058,-5.896168591010067,5.931337993230446,0.955161820662733,27.51521755817735,63.04342269897461,101.50606536865234,0.7938085410574318,3.381205921907887,0.8272238394892495,346205.21875,325794.46875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1895.5360717773438,63355.44140625,64126.537109375,1.0842674357347133,0.9939877019882595,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_full_dunnhumby_final_seed123_sample,extension3_lstm_full,dunnhumby,final,123,sample,strict,valendin_aggregate_mape_v1,3.5588457584381104,2.056431770324707,0.8481234796302803,1.0748880664742209,6.686760960843394,-6.686763300728606,198.46306531783193,11872.0,11078.147738728672,6.686760960843394,-6.686760960843394,6.687386581709038,-6.687386581709038,-6.686760960843394,6.686760960843394,6.686760960843394,0.9712685300360816,0.8235297098438245,1.3687116042002898,0.9930933459336335,63.20646667480469,101.4603271484375,0.8280531147174899,1.0080820322036743,1.4326633214950562,0.5337832570075989,-3.0182055782378576,2619.2438084052264,347125.7604829216,336648.78524930077,3.0182073548921666,3.0182073548921498,-3.0182073548921498,2.9893135971906357,-2.9893135971906357,-3.0182073548921666,3.0182073548921666,0.9582249225173848,27.51521755817735,63.037017822265625,101.18455505371094,0.7962716503357994,3.394554394642926,0.8280570430004868,346205.21875,335748.375,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1926.4619750976562,63355.44140625,64242.84765625,1.0748880664742209,0.9930933459336335,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
