model,dataset,mode,version,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_mape_mean,freq_mape_std,bias_pct_mean,bias_pct_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std
pareto_nbd,cdnow,,,0,1.8854460716247559,0.0,0.820665717124939,0.0,16.637819374635782,0.0,-16.637819374635782,0.0,,,,,,,,,,,,
bgnbd_gg,cdnow,,,0,1.8577826023101807,0.0,0.8661267757415771,0.0,6.999249936261655,0.0,-6.999249936261655,0.0,32.26243591308594,0.0,97.47097778320312,0.0,1.0727558135986328,0.0,1.8382177352905273,0.0,0.14287590980529785,0.0,-18.83892379460391,0.0
gppm,cdnow,,,0,1.9920477867126465,0.0,1.089081048965454,0.0,40.07093167249417,0.0,40.07093167249417,0.0,,,,,,,,,,,,
lstm_base,cdnow,expected,v3,0,4.134875297546387,0.0,2.5253024101257324,0.0,20.877758410695105,0.0,20.877758410695105,0.0,,,,,,,,,,,,
lstm_base,cdnow,sample,v3,1,32.23448181152344,0.0,31.63391876220703,0.0,1616.311061201572,0.0,1616.311061201572,0.0,,,,,,,,,,,,
lstm_base,cdnow,,v1,0,4.176421165466309,0.0,2.900721788406372,0.0,50.7748964247353,0.0,50.7748964247353,0.0,,,,,,,,,,,,
lstm_base,cdnow,,v2,0,4.2073540687561035,0.0,2.8230152130126953,0.0,43.757357560035295,0.0,43.757357560035295,0.0,,,,,,,,,,,,
lstm_base,cdnow,,v3,0,3.825662851333618,0.0,2.101536750793457,0.0,4.834361346767968,0.0,-4.834361346767968,0.0,,,,,,,,,,,,
lstm_joint,cdnow,,v1,0,4.014875411987305,0.0,2.6052660942077637,0.0,25.518895293079634,0.0,25.518895293079634,0.0,92.70559692382812,0.0,217.5138702392578,0.0,0.6597099900245667,0.0,0.8620457053184509,0.0,-0.2093576192855835,0.0,-53.703766209917895,0.0
transformer_joint,cdnow,,v1,0,3.1426851749420166,0.0,2.2333333492279053,0.0,22.868397975966705,0.0,22.868397975966705,0.0,89.872802734375,0.0,208.53619384765625,0.0,0.6263543963432312,0.0,0.8063422441482544,0.0,-0.058115363121032715,0.0,-50.28060756040189,0.0
pareto_nbd,dunnhumby,,,0,35.198890686035156,0.0,17.917444229125977,0.0,40.157179073676105,0.0,-40.157179073676105,0.0,,,,,,,,,,,,
bgnbd_gg,dunnhumby,,,0,20.44396209716797,0.0,11.489718437194824,0.0,1.4395877499310286,0.0,1.4395877499310286,0.0,332.8448791503906,0.0,517.95556640625,0.0,0.7983413934707642,0.0,1.3294198513031006,0.0,0.36923855543136597,0.0,-5.22577202929226,0.0
gppm,dunnhumby,,,0,20.92128562927246,0.0,11.817667007446289,0.0,4.43432458725987,0.0,4.43432458725987,0.0,,,,,,,,,,,,
lstm_base,dunnhumby,expected,v2,0,16.001924514770508,0.0,10.286986351013184,0.0,2.1677766953164834,0.0,-2.1677766953164834,0.0,,,,,,,,,,,,
lstm_base,dunnhumby,,v1,0,356.8454284667969,0.0,239.25167846679688,0.0,86.13949391475859,0.0,-86.13949391475859,0.0,,,,,,,,,,,,
lstm_joint,dunnhumby,,v1,0,21.31937599182129,0.0,11.033265113830566,0.0,20.51851350244009,0.0,-20.51851350244009,0.0,602.3598022460938,0.0,936.181884765625,0.0,1.399280309677124,0.0,1.668426275253296,0.0,-0.14442849159240723,0.0,-63.05774823969282,0.0
transformer_joint,dunnhumby,,v1,0,22.516788482666016,0.0,12.543658256530762,0.0,8.604118107655328,0.0,-8.604118107655328,0.0,743.9603271484375,0.0,1134.7227783203125,0.0,1.9569464921951294,0.0,2.178772449493408,0.0,-0.9516340494155884,0.0,-84.13821562679146,0.0
pareto_nbd,tafeng,,,0,1.2928977012634277,0.0,0.9239565134048462,0.0,14.802479399707902,0.0,14.802479399707902,0.0,,,,,,,,,,,,
bgnbd_gg,tafeng,,,0,1.2972151041030884,0.0,0.9309380054473877,0.0,16.100279649483852,0.0,16.100279649483852,0.0,951.3761596679688,0.0,3444.205322265625,0.0,2.5144925117492676,0.0,3.9721243381500244,0.0,-0.26582932472229004,0.0,21.2961884779863,0.0
gppm,tafeng,,,0,1.2835924625396729,0.0,0.9137977361679077,0.0,13.71914883244266,0.0,13.71914883244266,0.0,,,,,,,,,,,,
lstm_base,tafeng,,v1,0,1.8270937204360962,0.0,1.4183316230773926,0.0,49.59202187212603,0.0,49.59202187212603,0.0,,,,,,,,,,,,
lstm_joint,tafeng,,v1,0,1.828055500984192,0.0,1.3964885473251343,0.0,46.01396622216002,0.0,46.01396622216002,0.0,1055.97900390625,0.0,4069.43212890625,0.0,1.571378231048584,0.0,1.7877386808395386,0.0,0.06503820419311523,0.0,-68.11770779066718,0.0
transformer_joint,tafeng,,v1,0,1.692922592163086,0.0,1.3061983585357666,0.0,36.31480167139829,0.0,36.31480167139829,0.0,1089.576171875,0.0,4110.7412109375,0.0,1.6122511625289917,0.0,1.7944467067718506,0.0,0.05800861120223999,0.0,-79.41003627136304,0.0
pareto_nbd,uci,,,0,2.6073713302612305,0.0,1.0476372241973877,0.0,27.503428964241035,0.0,-27.503428964241035,0.0,,,,,,,,,,,,
bgnbd_gg,uci,,,0,1.9445929527282715,0.0,1.0193806886672974,0.0,20.858314138735405,0.0,-20.858314138735405,0.0,538.302978515625,0.0,2710.087646484375,0.0,2.183328628540039,0.0,3.392350912094116,0.0,-0.06882202625274658,0.0,-38.67329312743996,0.0
gppm,uci,,,0,1.9676518440246582,0.0,1.0290813446044922,0.0,19.47780987737177,0.0,-19.47780987737177,0.0,,,,,,,,,,,,
lstm_base,uci,,v1,0,4.2226176261901855,0.0,1.89933443069458,0.0,19.73194653327749,0.0,-19.73194653327749,0.0,,,,,,,,,,,,
lstm_joint,uci,,v1,0,3.4277403354644775,0.0,1.6824736595153809,0.0,27.395671713181542,0.0,-27.395671713181542,0.0,1570.4041748046875,0.0,6259.0048828125,0.0,2.6188600063323975,0.0,2.855703115463257,0.0,-1.14786958694458,0.0,-95.83442429064891,0.0
transformer_joint,uci,,v1,0,3.4381027221679688,0.0,1.753189206123352,0.0,3.0074139030612246,0.0,3.0074139030612246,0.0,1601.9093017578125,0.0,6358.8544921875,0.0,2.9717531204223633,0.0,3.3127646446228027,0.0,-1.8904328346252441,0.0,-98.1485169818948,0.0
