model,dataset,mode,version,protocol_variant,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_normalized_gini_mean,freq_normalized_gini_std,freq_horizon_abs_bias_pct_mean,freq_horizon_abs_bias_pct_std,bias_pct_mean,bias_pct_std,freq_weekly_mae_mean,freq_weekly_mae_std,freq_weekly_total_true_mean,freq_weekly_total_true_std,freq_weekly_total_pred_mean,freq_weekly_total_pred_std,freq_valendin_mape_mean,freq_valendin_mape_std,freq_horizon_bias_pct_mean,freq_horizon_bias_pct_std,freq_weekly_mean_pct_mape_mean,freq_weekly_mean_pct_mape_std,freq_weekly_mean_pct_bias_pct_mean,freq_weekly_mean_pct_bias_pct_std,freq_weekly_bias_pct_mean,freq_weekly_bias_pct_std,freq_weekly_mape_mean,freq_weekly_mape_std,freq_mape_mean,freq_mape_std,freq_mase_mean,freq_mase_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_normalized_gini_mean,spend_normalized_gini_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std,spend_weekly_mae_mean,spend_weekly_mae_std,spend_weekly_total_true_mean,spend_weekly_total_true_std,spend_weekly_total_pred_mean,spend_weekly_total_pred_std,spend_valendin_mape_mean,spend_valendin_mape_std,spend_horizon_abs_bias_pct_mean,spend_horizon_abs_bias_pct_std,spend_horizon_bias_pct_mean,spend_horizon_bias_pct_std,spend_weekly_mean_pct_mape_mean,spend_weekly_mean_pct_mape_std,spend_weekly_mean_pct_bias_pct_mean,spend_weekly_mean_pct_bias_pct_std,spend_weekly_bias_pct_mean,spend_weekly_bias_pct_std,spend_weekly_mape_mean,spend_weekly_mape_std,spend_mase_mean,spend_mase_std,clv_mae_mean,clv_mae_std,clv_rmse_mean,clv_rmse_std,clv_spearman_mean,clv_spearman_std,clv_decile_lift_mean,clv_decile_lift_std,clv_normalized_gini_mean,clv_normalized_gini_std,clv_total_true_mean,clv_total_true_std,clv_total_pred_mean,clv_total_pred_std,cohort_size_mean,cohort_size_std,calibration_weeks_mean,calibration_weeks_std,holdout_weeks_mean,holdout_weeks_std,n_scenarios_mean,n_scenarios_std,freq_calibration_factor_mean,freq_calibration_factor_std,freq_mase_scale_mean,freq_mase_scale_std,smearing_factor_mean,smearing_factor_std,spend_calibration_factor_mean,spend_calibration_factor_std,spend_mase_scale_mean,spend_mase_scale_std,validation_temperature_mean,validation_temperature_std,validation_freq_true_total_mean,validation_freq_true_total_std,validation_freq_pred_total_mean,validation_freq_pred_total_std,validation_spend_true_total_mean,validation_spend_true_total_std,validation_spend_pred_total_mean,validation_spend_pred_total_std,validation_freq_calibration_factor_mean,validation_freq_calibration_factor_std,validation_spend_calibration_factor_mean,validation_spend_calibration_factor_std,validation_rolling_origin_count_mean,validation_rolling_origin_count_std,epochs_completed_mean,epochs_completed_std,max_epochs_configured_mean,max_epochs_configured_std,final_finetune_epochs_mean,final_finetune_epochs_std,final_finetune_lr_multiplier_mean,final_finetune_lr_multiplier_std,final_finetune_batch_size_multiplier_mean,final_finetune_batch_size_multiplier_std
pareto_nbd,cdnow,,,strict,0,1.227367877960205,0.0,0.5639693737030029,0.0,0.7164898653703912,0.0,5.340272367671893,0.0,5.340273809872636,0.0,80.77821411432608,0.0,12798.0,0.0,13481.448057614649,0.0,16.41063890430128,0.0,5.340272367671893,0.0,16.785845168381126,0.0,8.19046036153627,0.0,5.340272367671893,0.0,16.41063890430128,0.0,16.41063890430128,0.0,1.0508805469633673,0.0,20.41753387451172,0.0,56.59851837158203,0.0,0.7387677514400722,0.0,1.0216645002365112,0.0,1.7437242269515991,0.0,-0.022832751274108887,0.0,1.3288060864574907,0.0,3231.892961451195,0.0,477773.8293311596,0.0,484122.49972895044,0.0,17.58765588214918,0.0,1.3288024600841815,0.0,1.3288024600841815,0.0,17.42227697242552,0.0,5.297564748198948,0.0,1.3288024600841883,0.0,17.58765588214918,0.0,0.9904685819722332,0.0,19.975358963012695,0.0,55.334083557128906,0.0,0.4907357038849247,0.0,5.649719691372049,0.0,0.7386889482930552,0.0,467470.65625,0.0,473643.1875,0.0,23502.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg,cdnow,,,strict,0,1.2420098781585693,0.0,0.5800448060035706,0.0,0.7089514905010389,0.0,7.749258877512243,0.0,7.74925769651508,0.0,86.09279378219097,0.0,12798.0,0.0,13789.750151144017,0.0,17.490331601320246,0.0,7.749258877512243,0.0,18.195511311229406,0.0,10.676088264874421,0.0,7.749258877512237,0.0,17.490331601320246,0.0,17.490331601320246,0.0,1.0577635631508016,0.0,20.059139251708984,0.0,56.546852111816406,0.0,0.7400920169102434,0.0,0.9948548078536987,0.0,1.6945387125015259,0.0,0.03405582904815674,0.0,-0.8436261876533888,0.0,3062.8747524477794,0.0,477773.8293311596,0.0,473743.1802304417,0.0,16.667874771442325,0.0,0.8436312023118681,0.0,-0.8436312023118681,0.0,16.178994152691352,0.0,3.064425880512606,0.0,-0.8436312023118709,0.0,16.667874771442325,0.0,0.9720795970034293,0.0,19.62381935119629,0.0,55.28596496582031,0.0,0.4925872383489976,0.0,5.682549061650176,0.0,0.7400147293813922,0.0,467470.65625,0.0,463457.8125,0.0,23502.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pareto_ggg,cdnow,,,strict,0,1.4531415700912476,0.0,0.561089277267456,0.0,0.6739986242458007,0.0,73.95038253513177,0.0,6.366313034751523,0.0,364.0065368017755,0.0,12798.0,0.0,22262.169956846163,0.0,73.95038253513177,0.0,73.95038253513177,0.0,79.72119364834975,0.0,79.72119364834975,0.0,73.95038253513177,0.0,73.95038253513177,0.0,73.95038253513177,0.0,1.4011031328896961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23502.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,cdnow,sample,,strict,3,1.400311787923177,0.04293123242620519,0.6416698694229126,0.01957669800925679,0.5484922468513099,0.04022305262116625,13.722076366574072,6.157971427665435,-13.722076630625878,6.157969598662382,124.5736948369214,10.388626579461885,12798.0,0.0,11041.84866660585,788.0971833126225,25.307986136583505,2.1105195426317316,-13.722076366574072,6.157971427665435,25.748286823637574,1.6813691538079294,-12.493502531576075,6.443315654867549,-13.722076366574072,6.157971427665435,25.307986136583505,2.1105195426317316,25.307986136583505,2.1105195426317316,0.4374961741980685,0.009954820232398694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23502.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,3.377796316461272,0.2728456842391935,0.08350728598817621,1.6996749443881478e-17,,,,,,,0.75,0.0,1410.0,0.0,419.3412373860677,35.45891537803189,0.0,0.0,0.0,0.0,3.377796316461272,0.2728456842391935,1.0,0.0,2.0,0.0,78.33333333333333,2.081665999466133,100.0,0.0,5.0,0.0,0.10000000000000002,1.6996749443881478e-17,4.0,0.0
lstm_joint,cdnow,sample,,strict,3,1.8715991973876953,0.7398479873860333,0.5526644388834635,0.017282870634695732,0.6645437298036246,0.011780097935916539,28.005883876666456,7.511707271924433,-28.005883996360108,7.511708298212613,175.50548108953694,2.2322201817005927,12798.0,0.0,9213.806981464228,961.3482966608889,35.655121959118304,0.45349058231141803,-28.005883876666456,7.511707271924433,34.51542905053022,0.34025652648543303,-26.15297164272313,7.58827163879975,-28.005883876666456,7.511707271924433,35.655121959118304,0.45349058231141803,35.655121959118304,0.45349058231141803,0.39919316732202875,0.009378702880212154,20.374521255493164,0.4807889888542627,76.56187438964844,13.657060073290625,0.7022748232641806,0.0053576336187486934,1.32094407081604,0.06761374099708481,1.7837473154067993,0.04043045650649561,-0.07069154580434163,0.0488351476663809,-32.65154061089664,7.093737665787315,6891.101519701412,299.5670375483898,477773.8300150466,0.0,321773.3035591617,33892.01328842282,37.500722780608164,1.630215488364618,32.65154277097427,7.093735813733342,-32.65154277097427,7.093735813733342,35.89182390366499,1.870286612264586,-30.623391377736183,7.228196868723347,-32.65154277097427,7.093735813733344,37.500722780608164,1.630215488364618,0.6695421564387899,0.01750327397029674,19.930409749348957,0.46951564492798614,74.71497090657552,13.34293180358055,0.4145559369332564,0.010047186182219572,5.365240865713798,0.04798358473368517,0.7023905652931965,0.005311370460798553,467470.65625,0.0,315718.1875,33432.1734014954,23502.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,3.1550077657191906,0.1397511022162755,0.08350728598817621,1.6996749443881478e-17,1.198039833764316,0.018990912666899375,2.823888821688239,0.20874892940023645,1.8052191310723706,0.0,0.75,0.0,1410.0,0.0,447.50499471028644,20.200461482679263,55157.349609375,0.0,19605.8642578125,1491.320861373783,3.1550077657191906,0.1397511022162755,2.823888821688239,0.20874892940023645,2.0,0.0,125.0,0.0,120.0,0.0,5.0,0.0,0.10000000000000002,1.6996749443881478e-17,4.0,0.0
transformer_joint,cdnow,sample,,strict,3,2.175239642461141,0.36709674484807464,0.5396994352340698,0.020137621931723852,0.6855156094830326,0.006144466214187006,18.63140468356364,7.893516018698335,-18.631405419792156,7.893512700810158,152.3643869177844,22.52934385657558,12798.0,0.0,10413.552828597525,1010.2121800730127,30.953852632148735,4.576988125261483,-18.63140468356364,7.893516018698335,30.358281173685054,4.716088639113434,-17.02701052713245,8.348995334009302,-18.63140468356364,7.893516018698335,30.953852632148735,4.576988125261483,30.953852632148735,4.576988125261483,0.4045227111415781,0.01571015484778719,20.07488950093587,0.7275180339982817,73.05955759684245,7.667927399285118,0.7176466341429385,0.006062181885618278,1.1070006688435872,0.03347833902963765,1.682672341664632,0.02416431103719534,0.04740607738494873,0.0272977552534539,-16.523293383728518,9.214640163881972,5469.868004788074,957.8913877145601,477773.8300150466,0.0,398829.83699739445,44025.10270744781,29.766504398118894,5.212754344413177,16.523297857307487,9.214632518918277,-16.523297857307487,9.214632518918277,28.9089827143052,5.438120762248315,-14.628685203657314,9.744587410430475,-16.523297857307483,9.214632518918279,29.766504398118894,5.212754344413177,0.7012564564452534,0.029762193339731957,19.657307942708332,0.7115188332750219,71.5045394897461,7.490153668830957,0.4420131922349036,0.004196616775190314,5.558039886922103,0.015681947568857248,0.7176343879588812,0.006017458540766222,467470.65625,0.0,391373.3020833333,42970.89172642334,23502.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,2.7620142415228663,0.15298812340278495,0.08350728598817621,1.6996749443881478e-17,1.2256137360636905,0.011099604028971121,2.457377635592247,0.12179905671302373,1.8052191310723706,0.0,0.75,0.0,1410.0,0.0,511.52228291829425,27.773591153367377,55157.349609375,0.0,22481.410807291668,1083.341632971051,2.7620142415228663,0.15298812340278495,2.457377635592247,0.12179905671302373,2.0,0.0,125.0,0.0,120.0,0.0,5.0,0.0,0.10000000000000002,1.6996749443881478e-17,4.0,0.0
pareto_nbd,dunnhumby,,,strict,0,6.964311122894287,0.0,3.847224235534668,0.0,-0.12022170581442937,0.0,73.72207419500386,0.0,-73.72207435957505,0.0,2188.0711621077144,0.0,11872.0,0.0,3119.7153515691434,0.0,73.72207419500386,0.0,-73.72207419500386,0.0,73.71750230186382,0.0,-73.71750230186382,0.0,-73.72207419500386,0.0,73.72207419500386,0.0,73.72207419500386,0.0,1.2139975325591175,0.0,111.24744415283203,0.0,194.98196411132812,0.0,0.11045057144165712,0.0,1.8809969425201416,0.0,2.561251640319824,0.0,-0.49006128311157227,0.0,-71.24511074156844,0.0,61827.53538890603,0.0,347125.75980485417,0.0,99815.61824923006,0.0,71.24511349853609,0.0,71.24511349853609,0.0,-71.24511349853609,0.0,71.20204623556347,0.0,-71.20204623556347,0.0,-71.24511349853609,0.0,71.24511349853609,0.0,0.9600132797851263,0.0,110.95166015625,0.0,194.46617126464844,0.0,0.25579111174153696,0.0,2.1934042843269292,0.0,0.11044191181146758,0.0,346205.21875,0.0,99548.390625,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg,dunnhumby,,,strict,0,4.139822483062744,0.0,2.41641902923584,0.0,0.7884608894634645,0.0,1.3111684682020848,0.0,-1.3111700587516846,0.0,50.02911187466486,0.0,11872.0,0.0,11716.338079455049,0.0,1.6856169769091938,0.0,-1.3111684682020848,0.0,1.6744654743088752,0.0,-1.2921596009539773,0.0,-1.3111684682020885,0.0,1.6856169769091938,0.0,1.6856169769091938,0.0,0.9623487484774759,0.0,70.744873046875,0.0,109.2636947631836,0.0,0.7760177511391725,0.0,1.1186250448226929,0.0,1.6536636352539062,0.0,0.37885355949401855,0.0,-2.763497810231595,0.0,3058.6636241658343,0.0,347125.75980485417,0.0,337532.939657348,0.0,3.524559659168299,0.0,2.763499935268143,0.0,-2.763499935268143,0.0,3.3998707010589677,0.0,-2.604773922819106,0.0,-2.7634999352681513,0.0,3.524559659168299,0.0,0.8406124004969321,0.0,70.55828094482422,0.0,108.97396087646484,0.0,0.7305961145430244,0.0,3.305783866980568,0.0,0.7760169902517061,0.0,346205.21875,0.0,336624.375,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,dunnhumby,sample,v6,strict,3,3.6460145314534507,0.12257259915085728,2.2189356486002603,0.05699849635806434,0.8512771393833182,0.0003394007153293715,12.356353227707231,3.418444931399136,12.356353512992754,3.4184459905568536,366.7365637983506,101.45944556392635,11872.0,0.0,13338.946255193403,405.8377822557054,12.356353227707231,3.418444931399136,12.356353227707231,3.418444931399136,12.378308344541773,3.420752746696755,12.378308344541773,3.420752746696755,12.356353227707231,3.418444931399136,12.356353227707231,3.418444931399136,12.356353227707231,3.418444931399136,1.033890073940255,0.015807852754254396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.2352428325658515,0.03780238974918246,0.8235297098438245,0.0,,,,,,,0.85,0.08660254037844388,2215.0,0.0,1794.2811889648438,54.486621938660484,0.0,0.0,0.0,0.0,1.2352428325658515,0.03780238974918246,1.0,0.0,2.0,0.0,105.0,0.0,100.0,0.0,5.0,0.0,0.10000000000000002,1.6996749443881478e-17,4.0,0.0
lstm_joint,dunnhumby,sample,v6,strict,3,3.861635128657023,0.3311767589366037,2.2635141213734946,0.059832259668762454,0.8374273431367603,0.004456847065025685,8.384224881233123,1.483768801216243,8.384223382749326,1.4837713911857915,248.8437944749991,44.03825802009813,11872.0,0.0,12867.375177899996,176.1530320803925,8.384224881233123,1.483768801216243,8.384224881233123,1.483768801216243,8.40266287346347,1.4883846632710112,8.40266287346347,1.4883846632710112,8.384224881233123,1.483768801216243,8.384224881233123,1.483768801216243,8.384224881233123,1.483768801216243,1.0500780166263333,0.015692075167087326,64.81356557210286,0.6515643897456079,104.27696482340495,1.340077151914966,0.8298469395778009,0.0006170278097313875,1.059081753094991,0.005491302913397254,1.5048050085703533,0.009670863813777927,0.48563430706659955,0.00661809491992088,-1.605449057966265,1.8549000404013793,2757.8216493380387,45.74697542266041,347125.7604829216,0.0,341552.8258288131,6438.822405234743,3.177893389993707,0.05271516047557774,1.914593375529922,1.3447484394298128,-1.605451190472136,1.8548961610561685,3.1118382646669356,0.08558701822167371,-1.472181468646017,1.8769812792001743,-1.6054511904721445,1.8548961610561676,3.177893389993707,0.05271516047557774,0.976963764529192,0.0042834073667835214,64.63855489095052,0.6490310423342859,103.99337005615234,1.334661078877507,0.7900219864988296,0.0007399706612614047,3.402146494483413,0.020842785038755564,0.8298568533566698,0.0006162275590366506,346205.21875,0.0,340637.3229166667,6424.794418322529,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.174749894671747,0.013357830329983026,0.8235297098438245,0.0,1.5456823659533228,0.02442994255300357,0.9180063133825372,0.007115455151121591,27.51521755817735,0.0,0.9,0.0,2215.0,0.0,1885.6692911783855,21.31355054323248,63355.44140625,0.0,69016.94401041667,537.3358444473872,1.174749894671747,0.013357830329983026,0.9180063133825372,0.007115455151121591,2.0,0.0,100.66666666666667,5.773502691896257,100.0,0.0,5.0,0.0,0.10000000000000002,1.6996749443881478e-17,4.0,0.0
