run_name,model,dataset,version,seed,mode,protocol_variant,quality_tier,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,freq_calibration_factor,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mase_scale,calibration_temperature_source,validation_temperature,smearing_source,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured,final_finetune_enabled,final_finetune_epochs,final_finetune_lr_multiplier,final_finetune_batch_size_multiplier
pareto_nbd_cdnow,pareto_nbd,cdnow,,,,strict,A,valendin_aggregate_mape_v1,1.227367877960205,0.5639693737030029,0.7164898653703912,5.340272367671893,5.340273809872636,80.77821411432608,12798.0,13481.448057614649,16.41063890430128,5.340272367671893,16.785845168381126,8.19046036153627,5.340272367671893,16.41063890430128,16.41063890430128,1.0508805469633673,20.41753387451172,56.59851837158203,0.7387677514400722,1.0216645002365112,1.7437242269515991,-0.022832751274108887,1.3288060864574907,3231.892961451195,477773.8293311596,484122.49972895044,17.58765588214918,1.3288024600841815,1.3288024600841815,17.42227697242552,5.297564748198948,1.3288024600841883,17.58765588214918,0.9904685819722332,19.975358963012695,55.334083557128906,0.4907357038849247,5.649719691372049,0.7386889482930552,467470.65625,473643.1875,cdnow_52x26,23502,52,26,benchmark_expected_total,0,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg_cdnow,bgnbd_gg,cdnow,,,,strict,A,valendin_aggregate_mape_v1,1.2420098781585693,0.5800448060035706,0.7089514905010389,7.749258877512243,7.74925769651508,86.09279378219097,12798.0,13789.750151144017,17.490331601320246,7.749258877512243,18.195511311229406,10.676088264874421,7.749258877512237,17.490331601320246,17.490331601320246,1.0577635631508016,20.059139251708984,56.546852111816406,0.7400920169102434,0.9948548078536987,1.6945387125015259,0.03405582904815674,-0.8436261876533888,3062.8747524477794,477773.8293311596,473743.1802304417,16.667874771442325,0.8436312023118681,-0.8436312023118681,16.178994152691352,3.064425880512606,-0.8436312023118709,16.667874771442325,0.9720795970034293,19.62381935119629,55.28596496582031,0.4925872383489976,5.682549061650176,0.7400147293813922,467470.65625,463457.8125,cdnow_52x26,23502,52,26,benchmark_expected_total,0,,,,,,,,,,,,,,,,,,,,,,,,,
pareto_ggg_cdnow,pareto_ggg,cdnow,,,,strict,A,valendin_aggregate_mape_v1,1.4531415700912476,0.561089277267456,0.6739986242458007,73.95038253513177,6.366313034751523,364.0065368017755,12798.0,22262.169956846163,73.95038253513177,73.95038253513177,79.72119364834975,79.72119364834975,73.95038253513177,73.95038253513177,73.95038253513177,1.4011031328896961,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_52x26,23502,52,26,benchmark_expected_total,0,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_cdnow_full_seed2024_sample,lstm_base,cdnow,,2024.0,sample,strict,B,valendin_aggregate_mape_v1,1.4470772743225098,0.6420398354530334,0.5469240063191005,20.812228745905323,-20.812227130215657,134.73342094255182,12798.0,10134.450965099037,27.372003004425277,-20.812228745905323,27.46815116760093,-19.924660335493343,-20.812228745905323,27.372003004425277,27.372003004425277,0.42608401435838134,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,3.5623858632984944,0.08350728598817622,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,1410.0,395.8021545410156,0.0,0.0,3.5623858632984944,1.0,2.0,False,absolute frequency bias -20.8% exceeds 15.0%,large frequency bias (-20.8%),76.0,100.0,True,5.0,0.1,4.0
lstm_base_cdnow_full_seed42_sample,lstm_base,cdnow,,42.0,sample,strict,A,valendin_aggregate_mape_v1,1.362687110900879,0.621910810470581,0.5894764843857753,9.710184868310444,-9.71018878682216,113.97037848916192,12798.0,11555.29054055363,23.153850919817234,-9.710184868310444,24.108257087149113,-8.462112138026574,-9.710184868310444,23.153850919817234,23.153850919817234,0.4420104480496077,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,3.0643911818951666,0.08350728598817622,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,1410.0,460.1240234375,0.0,0.0,3.0643911818951666,1.0,2.0,True,,,79.0,100.0,True,5.0,0.1,4.0
lstm_base_cdnow_full_seed7_sample,lstm_base,cdnow,,7.0,sample,strict,A,valendin_aggregate_mape_v1,1.3911709785461426,0.6610589623451233,0.5090762498490536,10.643815485506455,-10.64381397483982,125.01728507905052,12798.0,11435.804494164884,25.398104485508,-10.643815485506455,25.668452216162684,-9.093735121208308,-10.643815485506455,25.398104485508,25.398104485508,0.4443940601862166,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,3.506611904190155,0.08350728598817622,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,1410.0,402.0975341796875,0.0,0.0,3.506611904190155,1.0,2.0,True,,,80.0,100.0,True,5.0,0.1,4.0
lstm_joint_cdnow_full_seed2024_sample,lstm_joint,cdnow,,2024.0,sample,strict,B,valendin_aggregate_mape_v1,1.5584594011306763,0.555269718170166,0.652446125363164,34.41913327163487,-34.419135314111585,178.08112793587722,12798.0,8393.03932389617,36.17838198416008,-34.41913327163487,34.460980981514936,-32.50622624780269,-34.41913327163487,36.17838198416008,36.17838198416008,0.39187455661301474,20.682769775390625,71.3476333618164,0.7020719143245924,1.397467017173767,1.8303945064544678,-0.12703752517700195,-35.37404794449675,6784.24071782141,477773.8300150466,308765.8950306817,36.91919640257433,35.37404612116204,-35.37404612116204,34.51244126412538,-32.79837952951272,-35.37404612116205,36.91919640257433,0.6695523850227775,20.224477767944336,69.6358413696289,0.40324703193269956,5.367818853258197,0.7022552445905634,467470.65625,302398.6875,cdnow_master_52x26,23502,52,26,sample,30,3.2687469434787877,0.08350728598817622,1.2192511034591085,3.0006576026796274,1.8052191310723706,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,1410.0,431.3579559326172,55157.349609375,18381.75390625,3.2687469434787877,3.0006576026796274,2.0,False,absolute frequency bias -34.4% exceeds 15.0%,large frequency bias (-34.4%); large spend bias (-35.4%),125.0,120.0,True,5.0,0.1,4.0
lstm_joint_cdnow_full_seed42_sample,lstm_joint,cdnow,,42.0,sample,strict,B,valendin_aggregate_mape_v1,2.716524124145508,0.5684967637062073,0.6652067467996379,19.741747905093444,-19.741747367752772,174.30332815016692,12798.0,10271.451103106141,35.41089648307813,-19.741747905093444,34.879626466258564,-17.750544553883728,-19.741747905093444,35.41089648307813,35.41089648307813,0.40976539685395363,20.62026596069336,92.05790710449219,0.6970215266693198,1.2692737579345703,1.762052059173584,-0.04444718360900879,-24.5998400655331,6659.617921772122,477773.8300150466,360242.2085465718,36.24101093201822,24.599844965299454,-24.599844965299454,35.14243577381475,-22.55743759516867,-24.599844965299454,36.24101093201822,0.6870403138755707,20.17782211303711,89.8515853881836,0.41796819163974663,5.411883488741582,0.6971481482060548,467470.65625,353757.125,cdnow_master_52x26,23502,52,26,sample,30,3.1972740439743097,0.08350728598817622,1.1922525277115215,2.877422414816392,1.8052191310723706,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,1410.0,441.00067138671875,55157.349609375,19169.013671875,3.1972740439743097,2.877422414816392,2.0,False,absolute frequency bias -19.7% exceeds 15.0%,large frequency bias (-19.7%); large spend bias (-24.6%),125.0,120.0,True,5.0,0.1,4.0
lstm_joint_cdnow_full_seed7_sample,lstm_joint,cdnow,,7.0,sample,strict,B,valendin_aggregate_mape_v1,1.3398140668869019,0.5342268347740173,0.6759783172480721,29.856770453271054,-29.85676930721597,174.13198718256675,12798.0,8976.93051739037,35.3760874101167,-29.856770453271054,34.20567970381716,-28.20214412648298,-29.856770453271054,35.3760874101167,35.3760874101167,0.39593954849911783,19.820528030395508,66.28008270263672,0.7077310287986296,1.2960914373397827,1.7587953805923462,-0.04058992862701416,-37.98073382266007,7229.445919510705,477773.8300150466,296311.8071002318,39.34196100723196,37.98073722646131,-37.98073722646131,38.02059467305482,-36.514357008527156,-37.98073722646131,39.34196100723196,0.6520337704180216,19.38892936706543,64.65748596191406,0.4224525872273231,5.316020255141615,0.7077683030829711,467470.65625,290998.75,cdnow_master_52x26,23502,52,26,sample,30,2.999002309704475,0.08350728598817622,1.1826158701223184,2.5935864475686965,1.8052191310723706,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,1410.0,470.15635681152344,55157.349609375,21266.8251953125,2.999002309704475,2.5935864475686965,2.0,False,absolute frequency bias -29.9% exceeds 15.0%,large frequency bias (-29.9%); large spend bias (-38.0%),125.0,120.0,True,5.0,0.1,4.0
transformer_joint_cdnow_full_seed2024_sample,transformer_joint,cdnow,,2024.0,sample,strict,B,valendin_aggregate_mape_v1,2.4137330055236816,0.5421955585479736,0.6853872239474671,19.415653420600282,-19.41565424040866,149.51407450953354,12798.0,10313.184675231576,30.3747924460687,-19.415653420600282,29.66301370523722,-17.803214791076634,-19.415653420600282,30.3747924460687,30.3747924460687,0.4036929685610498,20.19386863708496,71.01151275634766,0.7150758264848132,1.0963832139968872,1.687679409980774,0.041860222816467285,-14.435328380414319,5040.458255397463,477773.8300150466,408805.5837487158,27.429697151099052,14.435333610499082,-14.435333610499082,26.37947657926708,-12.471214596347178,-14.435333610499082,27.429697151099052,0.7089908054772789,19.775712966918945,69.51235961914062,0.4442067147753546,5.54184759134159,0.7150398827868594,467470.65625,401300.1875,cdnow_master_52x26,23502,52,26,sample,30,2.9315886941763463,0.08350728598817622,1.228694617475881,2.5979915460243794,1.8052191310723706,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,1410.0,480.96788024902344,55157.349609375,21230.765625,2.9315886941763463,2.5979915460243794,2.0,False,absolute frequency bias -19.4% exceeds 15.0%,large frequency bias (-19.4%),125.0,120.0,True,5.0,0.1,4.0
