run_name,model,dataset,version,seed,mode,protocol_variant,run_valid,training_failed,failure_type,failure_message,repair_attempted,repair_failed,repair_failure_type,run_invalid_reason,final_manifest_version,final_manifest_config
lstm_base_cdnow_full_seed2024_sample,lstm_base,cdnow,,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -20.8% exceeds 15.0%,,
lstm_joint_cdnow_full_seed2024_sample,lstm_joint,cdnow,,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -34.4% exceeds 15.0%,,
lstm_joint_cdnow_full_seed42_sample,lstm_joint,cdnow,,42,sample,strict,False,False,,,False,False,,absolute frequency bias -19.7% exceeds 15.0%,,
lstm_joint_cdnow_full_seed7_sample,lstm_joint,cdnow,,7,sample,strict,False,False,,,False,False,,absolute frequency bias -29.9% exceeds 15.0%,,
transformer_joint_cdnow_full_seed2024_sample,transformer_joint,cdnow,,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -19.4% exceeds 15.0%,,
transformer_joint_cdnow_full_seed42_sample,transformer_joint,cdnow,,42,sample,strict,False,False,,,False,False,,absolute frequency bias -26.1% exceeds 15.0%,,
lstm_base_dunnhumby_v6_seed7_sample,lstm_base,dunnhumby,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 16.3% exceeds 15.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/lstm_base_dunnhumby_v6.yaml
lstm_base_tafeng_v6_seed7_sample,lstm_base,tafeng,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 91.4% exceeds 15.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/lstm_base_tafeng_v6.yaml
lstm_joint_tafeng_v8_seed42_sample,lstm_joint,tafeng,v8,42,sample,strict,False,False,,,False,False,,absolute spend bias 76.2% exceeds 50.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/lstm_joint_tafeng_v8.yaml
lstm_joint_tafeng_v8_seed7_sample,lstm_joint,tafeng,v8,7,sample,strict,False,False,,,False,False,,absolute frequency bias 67.7% exceeds 15.0%; absolute spend bias 124.1% exceeds 50.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/lstm_joint_tafeng_v8.yaml
transformer_joint_tafeng_v6b_seed2024_sample,transformer_joint,tafeng,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -27.8% exceeds 15.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/transformer_joint_tafeng_v6b.yaml
transformer_joint_tafeng_v6b_seed42_sample,transformer_joint,tafeng,v6b,42,sample,strict,False,False,,,False,False,,absolute frequency bias 66.7% exceeds 15.0%; absolute spend bias 117.0% exceeds 50.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/transformer_joint_tafeng_v6b.yaml
transformer_joint_tafeng_v6b_seed7_sample,transformer_joint,tafeng,v6b,7,sample,strict,False,False,,,False,False,,absolute frequency bias 27.0% exceeds 15.0%; absolute spend bias 67.6% exceeds 50.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/transformer_joint_tafeng_v6b.yaml
lstm_base_uci_v6_seed7_sample,lstm_base,uci,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 16.1% exceeds 15.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/lstm_base_uci_v6.yaml
transformer_joint_uci_v7_twostage_seed7_sample,transformer_joint,uci,v7_twostage,7,sample,strict,False,False,,,False,False,,absolute frequency bias -30.5% exceeds 15.0%,2026-05-29-v7-v8-extension3-sweep,experiments/configs/transformer_joint_uci_v7_twostage.yaml
