run_name,model,dataset,version,seed,mode,protocol_variant,run_valid,training_failed,failure_type,failure_message,repair_attempted,repair_failed,repair_failure_type,run_invalid_reason,final_manifest_version,final_manifest_config
lstm_base_cdnow_v6_seed7_sample,lstm_base,cdnow,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 24.6% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_base_cdnow_v6.yaml
lstm_joint_cdnow_v6b_seed2024_sample,lstm_joint,cdnow,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -21.7% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_cdnow_v6b.yaml
lstm_joint_cdnow_v6b_seed42_sample,lstm_joint,cdnow,v6b,42,sample,strict,False,False,,,False,False,,absolute frequency bias -23.8% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_cdnow_v6b.yaml
lstm_joint_cdnow_v6b_seed7_sample,lstm_joint,cdnow,v6b,7,sample,strict,False,False,,,False,False,,absolute frequency bias -27.9% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_cdnow_v6b.yaml
lstm_joint_cdnow_v7_seed2024_sample,lstm_joint,cdnow,v7,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -52.0% exceeds 15.0%; absolute spend bias -54.1% exceeds 50.0%,,
lstm_joint_cdnow_v7_seed42_sample,lstm_joint,cdnow,v7,42,sample,strict,False,False,,,False,False,,absolute frequency bias -40.8% exceeds 15.0%,,
lstm_joint_cdnow_v7_seed7_sample,lstm_joint,cdnow,v7,7,sample,strict,False,False,,,False,False,,absolute frequency bias -48.9% exceeds 15.0%; absolute spend bias -51.9% exceeds 50.0%,,
lstm_joint_cdnow_v7_twostage_seed2024_sample,lstm_joint,cdnow,v7_twostage,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -51.7% exceeds 15.0%,,
lstm_joint_cdnow_v7_twostage_seed42_sample,lstm_joint,cdnow,v7_twostage,42,sample,strict,False,False,,,False,False,,absolute frequency bias -54.3% exceeds 15.0%; absolute spend bias -50.3% exceeds 50.0%,,
lstm_joint_cdnow_v7_twostage_seed7_sample,lstm_joint,cdnow,v7_twostage,7,sample,strict,False,False,,,False,False,,absolute frequency bias -57.7% exceeds 15.0%; absolute spend bias -53.9% exceeds 50.0%,,
transformer_joint_cdnow_v6b_seed2024_sample,transformer_joint,cdnow,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -65.0% exceeds 15.0%; absolute spend bias -67.4% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_cdnow_v6b.yaml
transformer_joint_cdnow_v6b_seed7_sample,transformer_joint,cdnow,v6b,7,sample,strict,False,False,,,False,False,,absolute frequency bias -65.5% exceeds 15.0%; absolute spend bias -66.8% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_cdnow_v6b.yaml
transformer_joint_cdnow_v7_seed2024_sample,transformer_joint,cdnow,v7,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -56.4% exceeds 15.0%; absolute spend bias -56.8% exceeds 50.0%,,
transformer_joint_cdnow_v7_seed42_sample,transformer_joint,cdnow,v7,42,sample,strict,False,False,,,False,False,,absolute frequency bias -28.7% exceeds 15.0%,,
transformer_joint_cdnow_v7_seed7_sample,transformer_joint,cdnow,v7,7,sample,strict,False,False,,,False,False,,absolute frequency bias -40.9% exceeds 15.0%,,
transformer_joint_cdnow_v7_twostage_seed2024_sample,transformer_joint,cdnow,v7_twostage,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -61.1% exceeds 15.0%; absolute spend bias -59.0% exceeds 50.0%,,
transformer_joint_cdnow_v7_twostage_seed42_sample,transformer_joint,cdnow,v7_twostage,42,sample,strict,False,False,,,False,False,,absolute frequency bias -24.4% exceeds 15.0%,,
transformer_joint_cdnow_v7_twostage_seed7_sample,transformer_joint,cdnow,v7_twostage,7,sample,strict,False,False,,,False,False,,absolute frequency bias -27.1% exceeds 15.0%,,
lstm_base_dunnhumby_v6_seed7_sample,lstm_base,dunnhumby,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 17.1% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_base_dunnhumby_v6.yaml
transformer_joint_dunnhumby_v6_seed2024_sample,transformer_joint,dunnhumby,v6,2024,sample,strict,False,False,,,False,False,,absolute frequency bias 15.4% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_dunnhumby_v6.yaml
transformer_joint_dunnhumby_v6_seed7_sample,transformer_joint,dunnhumby,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 18.9% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_dunnhumby_v6.yaml
transformer_joint_dunnhumby_v7_seed2024_sample,transformer_joint,dunnhumby,v7,2024,sample,strict,False,False,,,False,False,,absolute frequency bias 17.4% exceeds 15.0%,,
transformer_joint_dunnhumby_v7_seed7_sample,transformer_joint,dunnhumby,v7,7,sample,strict,False,False,,,False,False,,absolute frequency bias 19.6% exceeds 15.0%,,
lstm_base_tafeng_v6_seed7_sample,lstm_base,tafeng,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 97.6% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_base_tafeng_v6.yaml
lstm_joint_tafeng_v6b_seed2024_sample,lstm_joint,tafeng,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias 36.7% exceeds 15.0%; absolute spend bias 112.0% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_tafeng_v6b.yaml
