model,dataset,mode,version,protocol_variant,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_normalized_gini_mean,freq_normalized_gini_std,freq_calibration_factor_mean,freq_calibration_factor_std,freq_mape_mean,freq_mape_std,bias_pct_mean,bias_pct_std,freq_weekly_mae_mean,freq_weekly_mae_std,freq_weekly_total_true_mean,freq_weekly_total_true_std,freq_weekly_total_pred_mean,freq_weekly_total_pred_std,freq_weekly_mape_mean,freq_weekly_mape_std,freq_weekly_bias_pct_mean,freq_weekly_bias_pct_std,freq_mase_mean,freq_mase_std,freq_mase_scale_mean,freq_mase_scale_std,smearing_factor_mean,smearing_factor_std,spend_calibration_factor_mean,spend_calibration_factor_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_normalized_gini_mean,spend_normalized_gini_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std,spend_weekly_mae_mean,spend_weekly_mae_std,spend_weekly_total_true_mean,spend_weekly_total_true_std,spend_weekly_total_pred_mean,spend_weekly_total_pred_std,spend_weekly_mape_mean,spend_weekly_mape_std,spend_weekly_bias_pct_mean,spend_weekly_bias_pct_std,spend_mase_mean,spend_mase_std,spend_mase_scale_mean,spend_mase_scale_std,clv_mae_mean,clv_mae_std,clv_rmse_mean,clv_rmse_std,clv_spearman_mean,clv_spearman_std,clv_decile_lift_mean,clv_decile_lift_std,clv_normalized_gini_mean,clv_normalized_gini_std,clv_total_true_mean,clv_total_true_std,clv_total_pred_mean,clv_total_pred_std,validation_temperature_mean,validation_temperature_std,validation_freq_true_total_mean,validation_freq_true_total_std,validation_freq_pred_total_mean,validation_freq_pred_total_std,validation_spend_true_total_mean,validation_spend_true_total_std,validation_spend_pred_total_mean,validation_spend_pred_total_std,validation_freq_calibration_factor_mean,validation_freq_calibration_factor_std,validation_spend_calibration_factor_mean,validation_spend_calibration_factor_std,run_valid_mean,run_valid_std
lstm_base,cdnow,sample,v2,strict,3,1.2185746431350708,0.04160674396239006,0.5586902896563212,0.023605630520835367,0.6519999563685549,0.047059481488131875,0.9865977683730703,0.008057136683647896,29.49951750246046,15.258527182168558,-29.49951750246046,15.258527182168558,16.61262243403456,3.4766726780030135,1196.0,0.0,843.1857898756862,182.4920238317372,34.09063965045938,6.09681340306481,-24.670902566339475,16.782893252375562,0.38027065552877987,0.03239243084481549,0.0833813303950784,1.6996749443881478e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9901319940884908,0.01317738542131488,296.3333333333333,31.182259913824932,304.1948649088542,27.231961392054234,0.0,0.0,0.0,0.0,0.9865977683730703,0.008057136683647896,1.0,0.0,1.0,0.0
lstm_joint,cdnow,sample,v2,strict,3,1.2517335017522175,0.03446618340233926,0.5778795878092448,0.010402948352418307,0.6476684446480578,0.02060837832520277,0.9641188452396232,0.019292007811510203,13.936061285012542,13.557074440054592,-13.375327153880994,14.379357039610651,11.976337749743834,1.6940132195082742,1196.0,0.0,1036.031106385247,171.97711401145193,24.94464348951433,2.1909448676338252,-7.494289050014555,15.739982173078278,0.4153979778207458,0.02886572637018477,0.0833813303950784,1.6996749443881478e-17,1.2267965025847867,0.03955208665714538,0.9907332136714828,0.028454088359710986,21.793235778808594,1.516544172313207,50.71675237019857,1.2375814371527416,0.6725011084041039,0.007369837120285048,1.9369624853134155,0.12093439874214784,2.099888642628988,0.15291287706247822,-0.526572028795878,0.2213568108223559,-12.771071526101215,27.258084259394906,558.5717338499543,68.66658340613134,43103.43998063614,0.0,37598.66498807138,11749.171662004808,34.49358915919399,5.046032507399389,-3.085391677750696,30.784929958737262,0.7113019205827723,0.09623196931313512,1.7675491305339939,2.7194799110210365e-16,21.323965072631836,1.4778318396741583,49.67430877685547,1.2257172760415,0.38250351598823756,0.0111166172888064,5.020894212194485,0.21211488190201466,0.6731904485767329,0.007492906535044591,42218.734375,0.0,36768.8203125,11482.830842423655,0.9742568333943685,0.0034934069421454538,296.3333333333333,31.182259913824932,318.7109375,21.720465696679547,11016.46328270522,889.8512823900136,11221.566839065714,561.6913953184537,0.9641188452396232,0.019292007811510203,0.9907332136714828,0.028454088359710986,1.0,0.0
transformer_joint,cdnow,sample,v2,strict,3,1.2458186944325764,0.013214966027332931,0.5026475389798483,0.009319408628863728,0.6753839567176064,0.004829923407604582,0.9642563726539759,0.02554543997402892,34.079891277130365,2.54019330522428,-34.079891277130365,2.54019330522428,16.608935705224912,0.6114308016955332,1196.0,0.0,788.4045441627192,30.38073806190838,32.98615117917042,2.049122498687705,-29.769786430088384,3.992652346476927,0.3697796692256783,0.004808352421784524,0.0833813303950784,1.6996749443881478e-17,1.2839999173315741,0.12265727053831947,0.9610942671283512,0.03249621307426224,18.507902145385742,0.15402222654005518,49.409478505452476,0.870978587653258,0.686427050493426,0.0030125855402282618,1.2157827615737915,0.1593744150192744,1.6933725277582805,0.03389137978355116,0.010505974292755127,0.039666556646531674,-31.144368984008917,5.879791979903383,610.7385740931969,80.39734491546193,43103.43998063614,0.0,29679.144454228488,2534.391683785396,34.078875237295385,4.951033863233516,-24.1810385132832,7.180711106723579,0.6381879746807545,0.01900843925238444,1.7675491305339939,2.7194799110210365e-16,18.127129236857098,0.15586380816420933,48.398634592692055,0.8558693880301445,0.42959234616567094,0.0038222389715782427,5.117313300262205,0.049544350645273856,0.6868817978493155,0.0030275432932726754,42218.734375,0.0,29068.412760416668,2466.2746325464527,1.020666519800822,0.01817840415930935,296.3333333333333,31.182259913824932,318.56870524088544,17.264384732894676,11016.46328270522,889.8512823900136,11945.99346264831,473.2162260770353,0.9642563726539759,0.02554543997402892,0.9610942671283512,0.03249621307426224,1.0,0.0
lstm_base,dunnhumby,sample,v2,strict,3,13.929876009623209,0.055573762286439385,8.506650606791178,0.07711243206786131,0.8769923605701074,0.0009315673620633315,0.9935556304949632,0.0011412157778317913,1.5145478991151382,1.1551170303972207,1.380535354739575,1.384290996667942,140.3357149157391,3.061689387282843,62910.0,0.0,63778.49525256517,870.8581200678519,6.47981671270158,0.05409762926923204,3.122060878564902,1.474342358441984,1.028679740333876,0.007723936540913474,0.8235297098438245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953955014546713,7.611460238705805e-05,19422.0,2301.9619892604655,19676.640625,2343.0074377491374,0.0,0.0,0.0,0.0,0.9935556304949632,0.0011412157778317913,1.0,0.0,1.0,0.0
lstm_joint,dunnhumby,sample,v2,strict,3,14.323846181233725,0.21344710492518223,8.715315818786621,0.10729874035957832,0.8691921843764708,0.002153397454567526,0.9940980929421707,0.0008323016827127542,2.3392358627404226,2.056680472888252,-2.3392358627404226,2.056680472888252,203.86525827419072,19.004988962196684,62910.0,0.0,61438.38678450417,1293.8571064220391,8.49791866022278,0.4396991907455654,-0.6313629567544344,2.2493443138170726,1.0336656925035657,0.005965236993928646,0.8235297098438245,0.0,1.4012619237783543,0.014582717105303492,0.980806333349581,0.0012506097192205928,301.13526407877606,1.796992941109375,466.5336100260417,3.1512957049031978,0.8524474889749278,0.00401220986911148,0.7549676895141602,0.008196962446459368,1.2803716659545898,0.01350493121578299,0.4437706470489502,0.01174833584864799,-0.32558198877267525,0.6789644593262788,6380.835036903514,493.0798964757009,1965992.2999520553,0.0,1959591.2995156914,13348.407239693157,8.565501199519904,0.6479332784963052,1.7887972834711139,0.6657428289205669,1.1124223110050127,0.00408527733210596,27.51521755817735,0.0,295.09706624348956,1.7462017391649993,457.2554931640625,3.098272318267568,0.8151030975594215,0.004866957808629581,3.2613688647184573,0.025683462327155963,0.8529525743461814,0.0039660821609979685,1929812.75,0.0,1922684.0833333333,13222.677575696736,0.9926223357518514,0.003624138801493325,19422.0,2301.9619892604655,19656.464192708332,2361.02792661901,569752.7466295025,69482.67752777015,592524.1337885553,72667.68314250838,0.9940980929421707,0.0008323016827127542,0.980806333349581,0.0012506097192205928,1.0,0.0
transformer_joint,dunnhumby,sample,v2,strict,3,15.186448733011881,0.687128063526443,9.125877062479654,0.08807607074780699,0.8645473412215043,0.003522056578400166,0.9871582350553506,0.0005777987043022295,4.8589068212525826,2.272746159230523,4.8589068212525826,2.272746159230523,184.37241928556682,41.30380147950234,62910.0,0.0,65966.7385133196,1429.784232247966,8.24338197357151,1.627168172274994,6.736349456077096,2.3776284105749266,1.0556389037025091,0.0020042701328408957,0.8235297098438245,0.0,1.4028960147175942,0.01763582453769715,0.9660358892567281,0.0036263429481808484,304.43023681640625,7.104881810846963,490.1617940266927,7.681527944530154,0.8567937030686608,0.0013056904890220865,0.7366307576497396,0.006598923900486638,1.2326388359069824,0.01494187168016692,0.48445820808410645,0.012534725415516949,2.0270552948517473,4.556005395649412,7183.775111336573,845.3091435306119,1965992.2999520553,0.0,2005844.0047969508,89570.78885250921,9.781532092438818,1.3894445039086598,4.311789842688103,4.667486721693247,1.1116756066571079,0.017640440942583994,27.51521755817735,0.0,298.3987731933594,6.907386234899409,480.4460754394531,7.483137909750961,0.8162383750133166,0.0015121663269433464,3.256738349863504,0.015960384858652515,0.8571904152764493,0.0013157795022672844,1929812.75,0.0,1967887.6666666667,87496.78428031418,1.015969713528951,0.011803566201405932,19422.0,2301.9619892604655,19935.860677083332,2387.2644893701754,569752.7466295025,69482.67752777015,611681.686815244,79399.34268441614,0.9871582350553506,0.0005777987043022295,0.9660358892567281,0.0036263429481808484,1.0,0.0
extension3_lstm_dynamic,dunnhumby,sample,final,strict,3,3.3281943003336587,0.06466075659727272,2.042414744695028,0.02364720288061066,0.8504162698108418,0.001309669733360637,0.9965938964233844,0.0028806113940606968,2.2325459194954513,1.4046946380624394,-2.2325459194954513,1.4046946380624394,71.39040513616055,38.00003032133921,11872.0,0.0,11606.952371705323,166.76556205184107,2.3950006884353803,1.2739208723318156,-2.2197636467811774,1.399447313680188,0.9900083315277173,0.007713206261425092,0.8235297098438245,0.0,1.398916062572427,0.018757485730317148,0.9841266462962519,0.0020931747665253473,64.2654037475586,0.4256387626498128,101.44569651285808,1.266893238030554,0.8313146802230099,0.0017596253069027399,1.0824375947316487,0.004981006910232069,1.5808779795964558,0.013150372968195274,0.4323033293088277,0.009466399874901988,0.3066522002473169,2.1780939463102666,2371.1301151521475,574.2588271434411,347125.7604829216,0.0,348190.20702451514,7560.739524530691,2.7177494031492038,0.6058458089354599,0.42279948020268465,2.1352505702810562,0.9890562404436741,0.004818699865850405,27.51521755817735,0.0,64.0932223002116,0.4252776433452763,101.16938018798828,1.2613381851348284,0.7942935558773554,0.0013113068033577383,3.394669464820568,0.012697054663053564,0.8313211906750934,0.0017529513082769508,346205.21875,0.0,347256.9583333333,7548.303738357207,0.9750562707583109,0.005136507969035992,19422.0,2301.9619892604655,19546.710286458332,2199.835179834376,569752.7466295025,69482.67752777015,588460.89036064,72199.95674826778,0.9965938964233844,0.0028806113940606968,0.9841266462962519,0.0020931747665253473,1.0,0.0
extension3_lstm_full,dunnhumby,sample,final,strict,3,3.3163114388783774,0.1146092343381698,2.0371201833089194,0.037092631070962584,0.8523812800359787,0.001320463403486428,0.9969676588295839,0.0036262369407032476,1.4804452791582436,1.0267001521652719,-1.4804452791582436,1.0267001521652719,54.45579139981419,27.098862509259238,11872.0,0.0,11696.241530672958,121.88999798094072,1.8257348391111403,0.9107973191441362,-1.4669096937198878,1.0228848249059157,0.9888534705460247,0.011719983882633006,0.8235297098438245,0.0,1.3961807654603575,0.02039360733347579,0.9841756550050716,0.00405393264849803,63.80658976236979,0.2709198163035302,100.90220896402995,0.3216296815855454,0.8313781604714476,0.0015529853274113459,1.0740394989649455,0.007360734185462379,1.5620641708374023,0.015478429544333755,0.44572436809539795,0.010957679049479934,-0.10471109293005969,1.6369804469462461,2267.8375488358324,665.2389318893818,347125.7604829216,0.0,346762.2809487682,5682.391977423673,2.5798595728829956,0.7448539871371359,0.0074105320997421105,1.60987656709709,0.9834958049050172,0.005566417014558728,27.51521755817735,0.0,63.63651021321615,0.27114021879838207,100.62843577067058,0.32137854807306643,0.7963503543172932,0.00133070387795687,3.397639245351241,0.02532425926181456,0.8313778345619518,0.0015505194999673722,346205.21875,0.0,345831.3541666667,5670.792070975587,0.9766728480656942,0.005403474689202147,19422.0,2301.9619892604655,19529.962890625,2167.6268044212297,569752.7466295025,69482.67752777015,588311.4071933116,71012.71634140403,0.9969676588295839,0.0036262369407032476,0.9841756550050716,0.00405393264849803,1.0,0.0
extension3_lstm_none,dunnhumby,sample,final,strict,3,3.3115092118581138,0.059953715554367674,2.031397501627604,0.0132076678124926,0.8512339309414618,0.0007240691466498187,0.9967367843631045,0.002700356389570074,1.555343586800876,1.3655371995417862,-1.4653976179947217,1.5073974540908048,60.2212159174184,22.122817160123546,11872.0,0.0,11698.02841518571,178.95817112598823,2.0252346043932206,0.7392512755786033,-1.4497850098336797,1.5153612564927361,0.9876424840621362,0.005165730209776401,0.8235297098438245,0.0,1.3998266152061543,0.020122534763002922,0.9828603370906698,0.0015222292566657502,64.43496449788411,0.4901738536907864,101.23610941569011,1.5087724651256569,0.8311112929662189,0.002182849545742141,1.079731543858846,0.002491364300776267,1.5744460026423137,0.0047675478780105154,0.4369359215100606,0.00341237970537483,1.4499818629608052,1.7472974711711098,2804.5070080694386,116.91422570004754,347125.7604829216,0.0,352159.00914014736,6065.318024007703,3.2437733051332835,0.09854940740139573,1.572276550550675,1.7065304575070177,0.9903119726629145,0.003959431165928084,27.51521755817735,0.0,64.26217269897461,0.487391997810255,100.96168518066406,1.5031169121724104,0.7946364308342299,0.0019797697351036,3.401333991840916,0.014025354197382494,0.8311192652169793,0.002180864704891764,346205.21875,0.0,351213.2604166667,6054.572448611196,0.9763006766637167,0.006810369246294545,19422.0,2301.9619892604655,19541.59375,2206.5304956747,569752.7466295025,69482.67752777015,589972.8838516405,71974.87998160117,0.9967367843631045,0.002700356389570074,0.9828603370906698,0.0015222292566657502,1.0,0.0
extension3_lstm_static,dunnhumby,sample,final,strict,3,3.308413108189901,0.05757590286599535,2.0284566084543862,0.017542268084452972,0.8529675156390114,0.0008005767958371575,0.9971736085665025,0.004991415912684743,2.441348669663915,1.2797139345199862,-2.441348669663915,1.2797139345199862,76.61978125199676,34.12225768144809,11872.0,0.0,11582.163110588988,151.927307200883,2.570822809002525,1.1425598067038225,-2.427700727845192,1.275937289733869,0.9864407701384684,0.007606088798486799,0.8235297098438245,0.0,1.3978176334406627,0.01945656735472924,0.9841683158044078,0.004681948366865034,63.84645080566406,0.32030664515305285,99.73211415608723,0.23348689826158225,0.8324007521495139,0.0012274017241318258,1.0779277483622234,0.004662483269602905,1.572736660639445,0.014313779911244932,0.4381302793820699,0.010243409986599445,1.399210756716646,2.8316000855705297,2866.3483777745546,191.16944338729473,347125.7604829216,0.0,351982.7742572147,9829.228178393132,3.3178597141327537,0.3189717860511632,1.5153812258931108,2.7976316316180774,0.987549603606431,0.0073008501841303865,27.51521755817735,0.0,63.675394694010414,0.3213335276208213,99.46157328287761,0.23170457680231116,0.7958715743178443,0.0005804133876029774,3.393208300388134,0.008195537846094973,0.8324086503752738,0.0012252502350888126,346205.21875,0.0,351038.59375,9809.094624507354,0.977695882320404,0.006339231488320795,19422.0,2301.9619892604655,19518.387369791668,2111.741556916268,569752.7466295025,69482.67752777015,588213.4269449386,69559.36489839896,0.9971736085665025,0.004991415912684743,0.9841683158044078,0.004681948366865034,1.0,0.0
