run_name,model,dataset,version,seed,mode,protocol_variant,run_valid,training_failed,failure_type,failure_message,repair_attempted,repair_failed,repair_failure_type,run_invalid_reason,final_manifest_version,final_manifest_config
lstm_joint_cdnow_v2_seed123_sample,lstm_joint,cdnow,v2,123,sample,strict,False,True,FloatingPointError,Non-finite gradients in spend_head.weight,True,False,,training failed: FloatingPointError: Non-finite gradients in spend_head.weight,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_cdnow_v2.yaml
lstm_joint_cdnow_v2_seed42_sample,lstm_joint,cdnow,v2,42,sample,strict,False,True,FloatingPointError,Non-finite gradients in lstm.weight_ih_l0,True,False,,training failed: FloatingPointError: Non-finite gradients in lstm.weight_ih_l0,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_cdnow_v2.yaml
lstm_joint_cdnow_v2_seed7_sample,lstm_joint,cdnow,v2,7,sample,strict,False,True,FloatingPointError,Non-finite gradients in lstm.weight_ih_l0,True,False,,training failed: FloatingPointError: Non-finite gradients in lstm.weight_ih_l0,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_cdnow_v2.yaml
transformer_joint_cdnow_v2_seed123_sample,transformer_joint,cdnow,v2,123,sample,strict,False,True,FloatingPointError,"Non-finite gradients in state_proj.weight, freq_head.weight, spend_head.weight",True,False,,"training failed: FloatingPointError: Non-finite gradients in state_proj.weight, freq_head.weight, spend_head.weight",2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_cdnow_v2.yaml
transformer_joint_cdnow_v2_seed42_sample,transformer_joint,cdnow,v2,42,sample,strict,False,True,FloatingPointError,"Non-finite gradients in state_proj.weight, time_proj.weight, freq_head.weight, spend_head.weight",True,False,,"training failed: FloatingPointError: Non-finite gradients in state_proj.weight, time_proj.weight, freq_head.weight, spend_head.weight",2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_cdnow_v2.yaml
transformer_joint_cdnow_v2_seed7_sample,transformer_joint,cdnow,v2,7,sample,strict,False,True,FloatingPointError,"Non-finite gradients in input_proj.weight, state_proj.weight, time_proj.weight, freq_head.weight, spend_head.weight",True,False,,"training failed: FloatingPointError: Non-finite gradients in input_proj.weight, state_proj.weight, time_proj.weight, freq_head.weight, spend_head.weight",2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_cdnow_v2.yaml
extension3_transformer_dynamic_dunnhumby_final_seed123_sample,transformer_joint,dunnhumby,final,123,sample,strict,False,True,FloatingPointError,Non-finite gradients in freq_head.weight,True,True,RuntimeError,training failed: FloatingPointError: Non-finite gradients in freq_head.weight; repair failed: RuntimeError: The size of tensor a (79) must match the size of tensor b (84) at non-singleton dimension 1,2026-05-20-results-recovery-protocol,experiments/configs/extension3_transformer_dynamic_dunnhumby.yaml
extension3_transformer_dynamic_dunnhumby_final_seed42_sample,transformer_joint,dunnhumby,final,42,sample,strict,False,True,FloatingPointError,Non-finite gradients in freq_head.weight,True,True,RuntimeError,training failed: FloatingPointError: Non-finite gradients in freq_head.weight; repair failed: RuntimeError: The size of tensor a (79) must match the size of tensor b (84) at non-singleton dimension 1,2026-05-20-results-recovery-protocol,experiments/configs/extension3_transformer_dynamic_dunnhumby.yaml
extension3_transformer_dynamic_dunnhumby_final_seed7_sample,transformer_joint,dunnhumby,final,7,sample,strict,False,True,FloatingPointError,"Non-finite gradients in freq_head.weight, spend_head.weight",True,True,RuntimeError,"training failed: FloatingPointError: Non-finite gradients in freq_head.weight, spend_head.weight; repair failed: RuntimeError: The size of tensor a (79) must match the size of tensor b (84) at non-singleton dimension 1",2026-05-20-results-recovery-protocol,experiments/configs/extension3_transformer_dynamic_dunnhumby.yaml
extension3_transformer_full_dunnhumby_final_seed123_sample,transformer_joint,dunnhumby,final,123,sample,strict,False,True,FloatingPointError,"Non-finite gradients in freq_head.weight, spend_head.weight",True,True,RuntimeError,"training failed: FloatingPointError: Non-finite gradients in freq_head.weight, spend_head.weight; repair failed: RuntimeError: The size of tensor a (79) must match the size of tensor b (84) at non-singleton dimension 1",2026-05-20-results-recovery-protocol,experiments/configs/extension3_transformer_full_dunnhumby.yaml
