model,dataset,mode,version,protocol_variant,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_normalized_gini_mean,freq_normalized_gini_std,freq_calibration_factor_mean,freq_calibration_factor_std,freq_horizon_abs_bias_pct_mean,freq_horizon_abs_bias_pct_std,bias_pct_mean,bias_pct_std,freq_weekly_mae_mean,freq_weekly_mae_std,freq_weekly_total_true_mean,freq_weekly_total_true_std,freq_weekly_total_pred_mean,freq_weekly_total_pred_std,freq_valendin_mape_mean,freq_valendin_mape_std,freq_horizon_bias_pct_mean,freq_horizon_bias_pct_std,freq_weekly_mean_pct_mape_mean,freq_weekly_mean_pct_mape_std,freq_weekly_mean_pct_bias_pct_mean,freq_weekly_mean_pct_bias_pct_std,freq_weekly_bias_pct_mean,freq_weekly_bias_pct_std,freq_weekly_mape_mean,freq_weekly_mape_std,freq_mape_mean,freq_mape_std,freq_mase_mean,freq_mase_std,freq_mase_scale_mean,freq_mase_scale_std,smearing_factor_mean,smearing_factor_std,spend_calibration_factor_mean,spend_calibration_factor_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_normalized_gini_mean,spend_normalized_gini_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std,spend_weekly_mae_mean,spend_weekly_mae_std,spend_weekly_total_true_mean,spend_weekly_total_true_std,spend_weekly_total_pred_mean,spend_weekly_total_pred_std,spend_valendin_mape_mean,spend_valendin_mape_std,spend_horizon_abs_bias_pct_mean,spend_horizon_abs_bias_pct_std,spend_horizon_bias_pct_mean,spend_horizon_bias_pct_std,spend_weekly_mean_pct_mape_mean,spend_weekly_mean_pct_mape_std,spend_weekly_mean_pct_bias_pct_mean,spend_weekly_mean_pct_bias_pct_std,spend_weekly_bias_pct_mean,spend_weekly_bias_pct_std,spend_weekly_mape_mean,spend_weekly_mape_std,spend_mase_mean,spend_mase_std,spend_mase_scale_mean,spend_mase_scale_std,clv_mae_mean,clv_mae_std,clv_rmse_mean,clv_rmse_std,clv_spearman_mean,clv_spearman_std,clv_decile_lift_mean,clv_decile_lift_std,clv_normalized_gini_mean,clv_normalized_gini_std,clv_total_true_mean,clv_total_true_std,clv_total_pred_mean,clv_total_pred_std,validation_temperature_mean,validation_temperature_std,validation_freq_true_total_mean,validation_freq_true_total_std,validation_freq_pred_total_mean,validation_freq_pred_total_std,validation_spend_true_total_mean,validation_spend_true_total_std,validation_spend_pred_total_mean,validation_spend_pred_total_std,validation_freq_calibration_factor_mean,validation_freq_calibration_factor_std,validation_spend_calibration_factor_mean,validation_spend_calibration_factor_std,validation_rolling_origin_count_mean,validation_rolling_origin_count_std,cohort_size_mean,cohort_size_std,calibration_weeks_mean,calibration_weeks_std,holdout_weeks_mean,holdout_weeks_std,n_scenarios_mean,n_scenarios_std,run_valid_mean,run_valid_std,epochs_completed_mean,epochs_completed_std,max_epochs_configured_mean,max_epochs_configured_std
lstm_base,cdnow,sample,v2,strict,1,1.3339738845825195,0.0,0.4947376847267151,0.0,0.627075493308027,0.0,2.1441565603403143,0.0,74.75762916573115,0.0,-74.75763021105509,0.0,34.388509416236325,0.0,1196.0,0.0,301.8987551778555,0.0,74.75762916573115,0.0,-74.75762916573115,0.0,73.64262393595263,0.0,-73.64262393595263,0.0,-74.75762916573115,0.0,74.75762916573115,0.0,74.75762916573115,0.0,0.28272729252519657,0.0,0.08338133039507842,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.0,120.0,0.0,36.49287509918213,0.0,0.0,0.0,0.0,0.0,2.1441565603403143,0.0,1.0,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,200.0,0.0,1.0,0.0,225.0,0.0,300.0,0.0
lstm_joint,cdnow,sample,v2,strict,1,1.2339390516281128,0.0,0.4958597421646118,0.0,0.6192578291174448,0.0,2.30923857770509,0.0,45.01994375893255,0.0,-45.01994461518865,0.0,22.229400370126733,0.0,1196.0,0.0,657.5614726431668,0.0,48.32478341331898,0.0,-45.01994375893255,0.0,46.40782183527265,0.0,-42.57420213724259,0.0,-45.01994375893255,0.0,48.32478341331898,0.0,48.32478341331898,0.0,0.3422925815893361,0.0,0.08338133039507842,0.0,1.178212124482749,0.0,2.024659500895032,0.0,18.4157657623291,0.0,49.58674240112305,0.0,0.6516422669683845,0.0,1.4752103090286255,0.0,1.7124587297439575,0.0,-0.011654973030090332,0.0,-40.35354180713545,0.0,717.3391774967209,0.0,43103.43998063614,0.0,25709.67340107746,0.0,43.26990751386309,0.0,40.3535462305855,0.0,-40.3535462305855,0.0,40.605323451182386,0.0,-35.4525128372576,0.0,-40.35354623058552,0.0,43.26990751386309,0.0,0.6017246932763186,0.0,1.7675491305339937,0.0,18.027568817138672,0.0,48.54901885986328,0.0,0.3805015366149258,0.0,5.257362663863912,0.0,0.6524146603945274,0.0,42218.734375,0.0,25242.04296875,0.0,0.75,0.0,120.0,0.0,33.16312217712402,0.0,4587.64013671875,0.0,1504.480224609375,0.0,2.30923857770509,0.0,2.024659500895032,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,200.0,0.0,1.0,0.0,180.0,0.0,300.0,0.0
transformer_joint,cdnow,sample,v2,strict,1,1.3223686218261719,0.0,0.47591862082481384,0.0,0.6633422232402894,0.0,2.7515418776834655,0.0,64.9394502087705,0.0,-64.9394516960833,0.0,29.872147096034425,0.0,1196.0,0.0,419.3241755031049,0.0,64.9394502087705,0.0,-64.9394502087705,0.0,64.35738329948231,0.0,-64.35738329948231,0.0,-64.9394502087705,0.0,64.9394502087705,0.0,64.9394502087705,0.0,0.3040731275267823,0.0,0.08338133039507842,0.0,1.2096483183125275,0.0,2.3710821518320895,0.0,17.073984146118164,0.0,51.71665954589844,0.0,0.6701672685527222,0.0,0.916655957698822,0.0,1.501408576965332,0.0,0.22233963012695312,0.0,-62.49628890532223,0.0,1036.078879286783,0.0,43103.43998063614,0.0,16165.389119179785,0.0,62.49629002594236,0.0,62.49629002594236,0.0,-62.49629002594236,0.0,61.470952041719464,0.0,-61.470952041719464,0.0,-62.49629002594236,0.0,62.49629002594236,0.0,0.5244216330200002,0.0,1.7675491305339937,0.0,16.718311309814453,0.0,50.636680603027344,0.0,0.44115414776261525,0.0,5.1932458852692625,0.0,0.6705178790888978,0.0,42218.734375,0.0,15907.361328125,0.0,0.75,0.0,120.0,0.0,26.648405075073242,0.0,4587.64013671875,0.0,1225.9323120117188,0.0,2.7515418776834655,0.0,2.3710821518320895,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,200.0,0.0,1.0,0.0,168.0,0.0,300.0,0.0
lstm_base,dunnhumby,sample,v2,strict,1,14.108920097351074,0.0,8.573118209838867,0.0,0.8759398711843163,0.0,1.0161472019344178,0.0,4.86441433400406,0.0,4.8644144412653,0.0,157.15405032758346,0.0,62910.0,0.0,65970.20305752195,0.0,5.495770318243262,0.0,4.86441433400406,0.0,7.293267713749177,0.0,6.698779583357403,0.0,4.86441433400406,0.0,5.495770318243262,0.0,5.495770318243262,0.0,1.0370258125649576,0.0,0.8235297098438245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,6257.0,0.0,6061.25537109375,0.0,0.0,0.0,0.0,0.0,1.0161472019344178,0.0,1.0,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,22.0,0.0,200.0,0.0,1.0,0.0,176.0,0.0,300.0,0.0
lstm_joint,dunnhumby,sample,v2,strict,1,14.813919067382812,0.0,8.611586570739746,0.0,0.8692603509375441,0.0,1.0508724268109897,0.0,3.51089707211929,0.0,-3.5108997476553805,0.0,220.54796374845318,0.0,62910.0,0.0,60701.294651929755,0.0,7.712693057488427,0.0,-3.51089707211929,0.0,8.991188452015562,0.0,-1.8402705297017379,0.0,-3.51089707211929,0.0,7.712693057488427,0.0,7.712693057488427,0.0,1.017917564709083,0.0,0.8235297098438245,0.0,1.3551423199152322,0.0,0.986989759713786,0.0,297.8188781738281,0.0,472.1966857910156,0.0,0.8538228161368449,0.0,0.7286525368690491,0.0,1.2037779092788696,0.0,0.5083655118942261,0.0,-6.798004926011281,0.0,9430.680027741722,0.0,1965992.2999520553,0.0,1832344.0109034015,0.0,10.553192940551067,0.0,6.7980067394929815,0.0,-6.7980067394929815,0.0,11.530135086864597,0.0,-4.804142477063739,0.0,-6.798006739492952,0.0,10.553192940551067,0.0,1.078571224731711,0.0,27.51521755817735,0.0,291.91033935546875,0.0,462.8266296386719,0.0,0.8175442231128746,0.0,3.26153904007129,0.0,0.8542828643452143,0.0,1929812.75,0.0,1797925.25,0.0,0.9,0.0,6257.0,0.0,5679.17333984375,0.0,181327.578125,0.0,186171.859375,0.0,1.0508724268109897,0.0,0.986989759713786,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,22.0,0.0,200.0,0.0,1.0,0.0,300.0,0.0,300.0,0.0
transformer_joint,dunnhumby,sample,v2,strict,1,15.181479454040527,0.0,9.047652244567871,0.0,0.8670102834020017,0.0,1.0530596161399055,0.0,5.576593542498619,0.0,5.576592552853282,0.0,178.8522653764918,0.0,62910.0,0.0,66418.23499758588,0.0,6.254569763603274,0.0,5.576593542498619,0.0,7.972910062361844,0.0,7.337117025251596,0.0,5.576593542498619,0.0,6.254569763603274,0.0,6.254569763603274,0.0,1.0440947524730115,0.0,0.8235297098438245,0.0,1.3684366960863656,0.0,0.9758750899777738,0.0,311.51776123046875,0.0,502.70526123046875,0.0,0.8564570814800831,0.0,0.7328108549118042,0.0,1.195847511291504,0.0,0.5148218870162964,0.0,3.4386262204238087,0.0,7368.619938428008,0.0,1965992.2999520553,0.0,2033595.384562655,0.0,8.245690415439041,0.0,3.4386240786521998,0.0,3.4386240786521998,0.0,10.094946466699666,0.0,5.718895583276353,0.0,3.43862407865222,0.0,8.245690415439041,0.0,1.1086463995956466,0.0,27.51521755817735,0.0,305.31451416015625,0.0,492.706298828125,0.0,0.8166595028569619,0.0,3.2692583061371785,0.0,0.856845783432487,0.0,1929812.75,0.0,1994900.0,0.0,0.9,0.0,6257.0,0.0,5656.7138671875,0.0,181327.578125,0.0,190520.140625,0.0,1.0530596161399055,0.0,0.9758750899777738,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,22.0,0.0,200.0,0.0,1.0,0.0,294.0,0.0,300.0,0.0
extension3_lstm_dynamic,dunnhumby,sample,final,strict,1,3.3201045989990234,0.0,2.0222482681274414,0.0,0.848602151255702,0.0,1.029640155567318,0.0,4.929000350415727,0.0,-4.9290083810646905,0.0,146.29273040033877,0.0,11872.0,0.0,11286.829078398645,0.0,4.929000350415727,0.0,-4.929000350415727,0.0,4.912727733112498,0.0,-4.912727733112498,0.0,-4.929000350415727,0.0,4.929000350415727,0.0,4.929000350415727,0.0,0.9764310244109897,0.0,0.8235297098438245,0.0,1.3546142402879586,0.0,0.9818747112137485,0.0,63.14028549194336,0.0,101.10760498046875,0.0,0.8284102137197019,0.0,1.054125189781189,0.0,1.5211745500564575,0.0,0.4743971824645996,0.0,-5.897178472066679,0.0,5117.652121481977,0.0,347125.7604829216,0.0,326655.15199699375,0.0,5.897173536602176,0.0,5.897173536602163,0.0,-5.897173536602163,0.0,5.740949409490656,0.0,-5.740949409490656,0.0,-5.897173536602176,0.0,5.897173536602176,0.0,0.9689524594013533,0.0,27.51521755817735,0.0,62.97045135498047,0.0,100.83236694335938,0.0,0.7931439842438559,0.0,3.397916678611208,0.0,0.828429191600612,0.0,346205.21875,0.0,325772.84375,0.0,0.9,0.0,2215.0,0.0,2091.0423583984375,0.0,63355.44140625,0.0,65738.5,0.0,1.029640155567318,0.0,0.9818747112137485,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
extension3_lstm_full,dunnhumby,sample,final,strict,1,3.3178775310516357,0.0,2.0152785778045654,0.0,0.8540210145668099,0.0,1.0791714334394669,0.0,7.452001537897967,0.0,-7.451997741534703,0.0,221.1754056448117,0.0,11872.0,0.0,10987.298377420753,0.0,7.452001537897967,0.0,-7.452001537897967,0.0,7.440025697792896,0.0,-7.440025697792896,0.0,-7.452001537897967,0.0,7.452001537897967,0.0,7.452001537897967,0.0,0.9548086581909273,0.0,0.8235297098438245,0.0,1.3583327087332941,0.0,0.9980529434898673,0.0,63.24248123168945,0.0,102.75572967529297,0.0,0.8268080550595386,0.0,1.003210186958313,0.0,1.4137420654296875,0.0,0.5460165739059448,0.0,-6.537229303789766,0.0,5673.106811018606,0.0,347125.7604829216,0.0,324433.3332388472,0.0,6.537235154344264,0.0,6.537235154344261,0.0,-6.537235154344261,0.0,6.414357864282922,0.0,-6.414357864282922,0.0,-6.537235154344264,0.0,6.537235154344264,0.0,0.9524761395378738,0.0,27.51521755817735,0.0,63.07258224487305,0.0,102.4771957397461,0.0,0.7962560893094573,0.0,3.4014129684154466,0.0,0.8268184489304229,0.0,346205.21875,0.0,323563.875,0.0,0.75,0.0,2215.0,0.0,1912.2144775390625,0.0,63355.44140625,0.0,63603.119140625,0.0,1.0791714334394669,0.0,0.9980529434898673,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
extension3_lstm_none,dunnhumby,sample,final,strict,1,3.3690600395202637,0.0,2.029564380645752,0.0,0.8492975010932293,0.0,1.0789529705364866,0.0,6.647706417664333,0.0,-6.647707381338444,0.0,197.3039264762774,0.0,11872.0,0.0,11082.78429409489,0.0,6.647706417664333,0.0,-6.647706417664333,0.0,6.633932619760256,0.0,-6.633932619760256,0.0,-6.647706417664333,0.0,6.647706417664333,0.0,6.647706417664333,0.0,0.9605783511487591,0.0,0.8235297098438245,0.0,1.3721683056775256,0.0,0.9917541623495277,0.0,64.16000366210938,0.0,103.83418273925781,0.0,0.8250194689056476,0.0,1.0143967866897583,0.0,1.433437705039978,0.0,0.5332790613174438,0.0,-4.629671307876181,0.0,4017.696877767994,0.0,347125.7604829216,0.0,331054.97297184967,0.0,4.629672971753605,0.0,4.629672971753596,0.0,-4.629672971753596,0.0,4.491851014569708,0.0,-4.491851014569708,0.0,-4.629672971753605,0.0,4.629672971753605,0.0,0.9624759878769052,0.0,27.51521755817735,0.0,63.98871612548828,0.0,103.55228424072266,0.0,0.793271405509269,0.0,3.4158119335388175,0.0,0.8250271191270638,0.0,346205.21875,0.0,330164.4375,0.0,0.75,0.0,2215.0,0.0,1912.93603515625,0.0,63355.44140625,0.0,64417.798828125,0.0,1.0789529705364866,0.0,0.9917541623495277,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
extension3_lstm_static,dunnhumby,sample,final,strict,1,3.37023663520813,0.0,2.028343677520752,0.0,0.8529296337208062,0.0,1.0845905971769012,0.0,8.163024868654222,0.0,-8.163016183035714,0.0,242.27857810165733,0.0,11872.0,0.0,10902.88568759337,0.0,8.163024868654222,0.0,-8.163024868654222,0.0,8.147116610198918,0.0,-8.147116610198918,0.0,-8.163024868654222,0.0,8.163024868654222,0.0,8.163024868654222,0.0,0.9579862699953724,0.0,0.8235297098438245,0.0,1.3575136753342432,0.0,0.9997017932212815,0.0,62.88976287841797,0.0,101.43167114257812,0.0,0.8287816530863421,0.0,1.0075478553771973,0.0,1.4245933294296265,0.0,0.5390206575393677,0.0,-6.356017956028904,0.0,5515.848658536739,0.0,347125.7604829216,0.0,325062.3658487747,0.0,6.356023420287895,0.0,6.35602342028789,0.0,-6.35602342028789,0.0,6.223397636571838,0.0,-6.223397636571838,0.0,-6.356023420287895,0.0,6.356023420287895,0.0,0.9532651995270282,0.0,27.51521755817735,0.0,62.7199821472168,0.0,101.15693664550781,0.0,0.7969906896460739,0.0,3.38229581259683,0.0,0.8287916688104089,0.0,346205.21875,0.0,324188.1875,0.0,0.75,0.0,2215.0,0.0,1894.4882202148438,0.0,63355.44140625,0.0,63393.25,0.0,1.0845905971769012,0.0,0.9997017932212815,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0
