architecture,seed,head,normalized_additivity_error,n_integration_samples
lstm,7,freq,0.10511227762022468,128
lstm,7,spend,0.11430842200475547,128
lstm,42,freq,0.1261908319622762,128
lstm,42,spend,0.11005730291766548,128
lstm,2024,freq,0.13351165283767005,128
lstm,2024,spend,0.11820951484252229,128
transformer,7,freq,0.11507291099934917,128
transformer,7,spend,0.10833892345694046,128
transformer,42,freq,0.09012648994887891,128
transformer,42,spend,0.09821014343096243,128
transformer,2024,freq,0.10223215274489382,128
transformer,2024,spend,0.11385672683542972,128
