architecture,seed,head,feature_type,feature,mean_abs_shap,relative_importance_pct,n_integration_samples
lstm,7,freq,static,income,0.0303144883364439,28.45486068725586,128
lstm,42,freq,static,income,0.024355461820960045,20.243446350097656,128
lstm,2024,freq,static,income,0.04171518236398697,30.935726165771484,128
lstm,7,freq,static,household_size,0.03281530365347862,30.802265167236328,128
lstm,42,freq,static,household_size,0.036020684987306595,29.939189910888672,128
lstm,2024,freq,static,household_size,0.04753149300813675,35.24906539916992,128
lstm,7,freq,dynamic,coupon_redemptions_week,0.023757310584187508,22.299928665161133,128
lstm,42,freq,dynamic,coupon_redemptions_week,0.01673891395330429,13.912826538085938,128
lstm,2024,freq,dynamic,coupon_redemptions_week,0.01349108386784792,10.004904747009277,128
lstm,7,freq,dynamic,campaign_active_flag,0.01964825950562954,18.442947387695312,128
lstm,42,freq,dynamic,campaign_active_flag,0.043197765946388245,35.904541015625,128
lstm,2024,freq,dynamic,campaign_active_flag,0.032106928527355194,23.810302734375,128
lstm,7,spend,static,income,0.020612744614481926,30.646692276000977,128
lstm,42,spend,static,income,0.01644829288125038,17.914283752441406,128
lstm,2024,spend,static,income,0.027965275570750237,29.799001693725586,128
lstm,7,spend,static,household_size,0.017324745655059814,25.758148193359375,128
lstm,42,spend,static,household_size,0.02430468425154686,26.47089385986328,128
lstm,2024,spend,static,household_size,0.02509189210832119,26.737205505371094,128
lstm,7,spend,dynamic,coupon_redemptions_week,0.014860055409371853,22.093687057495117,128
lstm,42,spend,dynamic,coupon_redemptions_week,0.015952493995428085,17.374296188354492,128
lstm,2024,spend,dynamic,coupon_redemptions_week,0.008975062519311905,9.563570976257324,128
lstm,7,spend,dynamic,campaign_active_flag,0.014461730606853962,21.50146484375,128
lstm,42,spend,dynamic,campaign_active_flag,0.035111162811517715,38.24052429199219,128
lstm,2024,spend,dynamic,campaign_active_flag,0.031814124435186386,33.90022659301758,128
transformer,7,freq,static,income,0.026910629123449326,26.41581916809082,128
transformer,42,freq,static,income,0.025064049288630486,27.744606018066406,128
transformer,2024,freq,static,income,0.0268084779381752,24.175838470458984,128
transformer,7,freq,static,household_size,0.025854596868157387,25.37920379638672,128
transformer,42,freq,static,household_size,0.019760698080062866,21.87407112121582,128
transformer,2024,freq,static,household_size,0.023144153878092766,20.871356964111328,128
transformer,7,freq,dynamic,coupon_redemptions_week,0.01181479450315237,11.597554206848145,128
transformer,42,freq,dynamic,coupon_redemptions_week,0.009971332736313343,11.037750244140625,128
transformer,2024,freq,dynamic,coupon_redemptions_week,0.0191146619617939,17.237567901611328,128
transformer,7,freq,dynamic,campaign_active_flag,0.03729313611984253,36.607421875,128
transformer,42,freq,dynamic,campaign_active_flag,0.03554236888885498,39.34356689453125,128
transformer,2024,freq,dynamic,campaign_active_flag,0.04182225838303566,37.71523666381836,128
transformer,7,spend,static,income,0.022978991270065308,35.62911605834961,128
transformer,42,spend,static,income,0.021619552746415138,35.26565170288086,128
transformer,2024,spend,static,income,0.020875675603747368,36.88331985473633,128
transformer,7,spend,static,household_size,0.016172366216778755,25.07538604736328,128
transformer,42,spend,static,household_size,0.013306671753525734,21.705739974975586,128
transformer,2024,spend,static,household_size,0.013028888031840324,23.019548416137695,128
transformer,7,spend,dynamic,coupon_redemptions_week,0.007149876095354557,11.085942268371582,128
transformer,42,spend,dynamic,coupon_redemptions_week,0.007394132670015097,12.06125259399414,128
transformer,2024,spend,dynamic,coupon_redemptions_week,0.0065164933912456036,11.513395309448242,128
transformer,7,spend,dynamic,campaign_active_flag,0.018193747848272324,28.209556579589844,128
transformer,42,spend,dynamic,campaign_active_flag,0.018984492868185043,30.96735954284668,128
transformer,2024,spend,dynamic,campaign_active_flag,0.016178175806999207,28.583738327026367,128
