Model,Dataset,N_seeds,freq_rmse,freq_mae,freq_mape,bias_pct
Pareto/NBD,CDNOW,—,1.99,0.85,13.99,-6.96
Base LSTM,CDNOW,3,2.03 ± 0.04,0.90 ± 0.09,31.11 ± 8.98,-18.48 ± 29.95
Joint LSTM,CDNOW,3,2.14 ± 0.03,0.95 ± 0.02,19.32 ± 0.26,-2.50 ± 5.99
Joint Transformer,CDNOW,3,2.21 ± 0.06,0.84 ± 0.02,40.55 ± 8.41,-38.48 ± 6.92
Pareto/NBD,UCI,—,3.44,1.19,20.33,-11.30
Base LSTM,UCI,3,2.32 ± 0.06,1.30 ± 0.06,19.01 ± 8.83,16.95 ± 11.25
Joint LSTM,UCI,3,2.28 ± 0.05,1.19 ± 0.02,10.01 ± 0.47,1.22 ± 4.85
Joint Transformer,UCI,3,2.25 ± 0.11,1.15 ± 0.03,18.44 ± 1.87,-3.82 ± 4.50
Pareto/NBD,Ta-Feng,—,1.29,0.92,16.79,14.80
Base LSTM,Ta-Feng,3,1.37 ± 0.06,0.94 ± 0.02,23.71 ± 5.32,23.28 ± 5.42
Joint LSTM,Ta-Feng,3,1.31 ± 0.02,0.89 ± 0.02,13.32 ± 2.78,7.38 ± 5.09
Joint Transformer,Ta-Feng,3,1.26 ± 0.01,0.87 ± 0.03,20.88 ± 18.11,-2.09 ± 12.59
Pareto/NBD,Dunnhumby,—,33.92,19.46,74.21,-74.21
Base LSTM,Dunnhumby,3,13.79 ± 0.19,8.57 ± 0.06,4.87 ± 0.14,1.65 ± 0.55
Joint LSTM,Dunnhumby,3,14.77 ± 0.45,9.12 ± 0.22,5.07 ± 0.89,0.87 ± 2.58
Joint Transformer,Dunnhumby,3,13.93 ± 0.16,8.67 ± 0.13,5.89 ± 0.44,2.37 ± 1.96
