Model,Dataset,N_seeds,spend_mae_raw,spend_r2_log,clv_mae,clv_spearman,clv_decile_lift
Pareto/NBD + Gamma-Gamma,CDNOW,—,31.266,0.068,30.267,0.490,5.139
Joint LSTM,CDNOW,3,36.348 ± 0.663,-0.499 ± 0.048,35.149 ± 0.637,0.406 ± 0.010,5.029 ± 0.034
Joint Transformer,CDNOW,3,31.839 ± 0.308,-0.036 ± 0.044,30.839 ± 0.284,0.411 ± 0.008,5.026 ± 0.018
Pareto/NBD + Gamma-Gamma,UCI,—,592.472,0.073,577.564,0.592,5.405
Joint LSTM,UCI,3,604.647 ± 16.931,-0.176 ± 0.035,589.025 ± 16.310,0.609 ± 0.003,6.221 ± 0.034
Joint Transformer,UCI,3,598.121 ± 3.217,-0.031 ± 0.037,583.162 ± 3.094,0.608 ± 0.004,6.280 ± 0.077
Pareto/NBD + Gamma-Gamma,Ta-Feng,—,946.538,-0.225,943.091,0.414,3.130
Joint LSTM,Ta-Feng,3,1012.606 ± 25.656,-0.746 ± 0.045,1008.954 ± 25.573,0.383 ± 0.009,3.277 ± 0.016
Joint Transformer,Ta-Feng,3,1010.427 ± 119.323,-0.731 ± 0.132,1006.754 ± 118.687,0.385 ± 0.008,3.447 ± 0.029
Pareto/NBD + Gamma-Gamma,Dunnhumby,—,604.188,-2.232,592.987,0.277,2.146
Joint LSTM,Dunnhumby,3,312.862 ± 9.666,0.439 ± 0.019,306.524 ± 9.477,0.812 ± 0.007,3.271 ± 0.022
Joint Transformer,Dunnhumby,3,290.310 ± 5.782,0.504 ± 0.010,284.597 ± 5.628,0.823 ± 0.002,3.278 ± 0.028
