Model A,Model B,Metric,Dataset,Delta,CI_low,CI_high,p_value,N seeds A,N seeds B,N customers,p_holm,sig_holm_p<0.05
Joint LSTM,Base LSTM,Frequency RMSE,CDNOW,0.10789417104184373,0.018174236192977478,0.22256273843803648,0.0068,3,3,23570,0.020399999999999998,True
Joint LSTM,Base LSTM,Frequency MAE,CDNOW,0.05149908461242492,0.044413511708180975,0.05911525183135498,0.0,3,3,23570,0.0,True
Joint LSTM,Pareto/NBD,Frequency RMSE,CDNOW,0.1494209178264856,0.07442841690019322,0.23842878309003,0.0,3,1,23570,0.0,True
Joint LSTM,Pareto/NBD,Frequency RMSE,Dunnhumby,-19.147955902915264,-21.268167529980527,-17.02607801995374,0.0,3,1,2498,0.0,True
Joint LSTM,Pareto/NBD + Gamma-Gamma,CLV MAE,Dunnhumby,-286.4624513876248,-313.3367940965588,-261.0749608004506,0.0,3,1,2498,0.0,True
Joint Transformer,Joint LSTM,Frequency RMSE,Ta-Feng,-0.04308154994089963,-0.05616929385675964,-0.03025021175448343,0.0,3,3,27809,0.0,True
Joint Transformer,Joint LSTM,Spend MAE (\$),Dunnhumby,-22.551924731294093,-29.46330728903327,-15.644456738588248,0.0,3,3,2498,0.0,True
Joint Transformer,Joint LSTM,CLV MAE,Dunnhumby,-21.926898371419327,-28.69552081063771,-15.181843198020177,0.0,3,3,2498,0.0,True
Joint LSTM,Base LSTM,Frequency RMSE,UCI,-0.03673970334207777,-0.14913561539751344,0.06713238415105229,0.4996,3,3,4930,0.9992,False
Joint Transformer,Joint LSTM,Frequency RMSE,UCI,-0.031879752045654186,-0.15025801757681484,0.09656699296992978,0.6824,3,3,4930,0.9992,False
