Architecture,Head,Feature type,Feature,Mean absolute SHAP,Seed SD,CI low,CI high,Relative importance (%)
LSTM,Conditional log1p-spend,Dynamic,Active campaign,0.0271290037781,0.0110933547839522,0.0256952714174985,0.0285546267405152,32.17866897583008
LSTM,Conditional log1p-spend,Static,Household size,0.0222404394298791,0.0042752739973366,0.0206882844679057,0.0239343207795172,26.38016891479492
LSTM,Conditional log1p-spend,Static,Income,0.0216754376888275,0.0058315698988735,0.0201999574434012,0.023262339644134,25.71000289916992
LSTM,Conditional log1p-spend,Dynamic,Weekly coupon redemptions,0.0132625373080372,0.0037530234549194,0.0117249756352975,0.01482333347667,15.73116397857666
LSTM,Frequency,Static,Household size,0.0387891605496406,0.0077388565987348,0.0345700821839273,0.0436978802084922,32.17300796508789
LSTM,Frequency,Static,Income,0.0321283787488937,0.0088208625093102,0.0286591099575161,0.0357648473232984,26.64833641052246
LSTM,Frequency,Dynamic,Active campaign,0.0316509865224361,0.0117813721299171,0.0289836105890572,0.0345930805429816,26.252370834350582
LSTM,Frequency,Dynamic,Weekly coupon redemptions,0.0179957691580057,0.0052472483366727,0.0157548304181546,0.0203397926874458,14.926283836364746
Transformer,Conditional log1p-spend,Static,Income,0.0218247398734092,0.0010665648151189,0.0202703736722469,0.0234100109897553,35.89613723754883
Transformer,Conditional log1p-spend,Dynamic,Active campaign,0.0177854727953672,0.0014470212627202,0.0170184747781604,0.0185782395303249,29.252573013305664
Transformer,Conditional log1p-spend,Static,Household size,0.0141693083569407,0.0017402501543983,0.0132093695225194,0.0152152400463819,23.304903030395508
Transformer,Conditional log1p-spend,Dynamic,Weekly coupon redemptions,0.0070201675407588,0.000452969019534,0.0061884159455075,0.0079030922846868,11.546387672424316
Transformer,Frequency,Dynamic,Active campaign,0.038219254463911,0.0032407599501311,0.0355333941057324,0.0409514117054641,37.828216552734375
Transformer,Frequency,Static,Income,0.0262610521167516,0.0010378923034295,0.0243776194751262,0.0281261980999261,25.99236488342285
Transformer,Frequency,Static,Household size,0.0229198168963193,0.003053137101233,0.0202669562771916,0.0257860288489609,22.6853141784668
Transformer,Frequency,Dynamic,Weekly coupon redemptions,0.0136335967108607,0.0048354058526456,0.0115946367383003,0.015679622022435,13.49410629272461
